id,title_short,decision,reason_code,confidence,rationale
800,Functional deconvolution in a periodic setting: Uniform case,include,none,alta,"Deconvolucion funcional periodica, metodologia central de FDA"
801,Gaussian process functional regression modeling for batch data,include,none,media,Regresion funcional con proceso gaussiano para datos por lotes
802,Functional PCA and Base-Line Logit Models,include,none,alta,"FPCA aplicado a modelos logit base, metodologia central"
803,Functional Data Analysis,include,none,media,"Articulo general sobre FDA, posible entrada enciclopedica, verificar sustancia"
804,Localized Functional Principal Component Analysis,include,none,alta,"FPCA localizada con funciones base ortogonales, PR1/PR2 directo"
805,Random forests for functional covariates,include,none,media,"Random forests para covariables funcionales, sin discusion explicita de bases"
806,Nonparametric functional concurrent regression models,include,none,alta,"Regresion funcional concurrente no parametrica, metodologia central"
807,Penalized scalar-on-functions regression with interaction term,include,none,baja,"Regresion penalizada scalar-on-function, solo titulo"
808,Data reduction for multiple functional data with class information,include,none,baja,"Reduccion de dimension para datos funcionales, solo titulo"
809,Test of significance when data are curves,include,none,baja,"Test de significancia para datos tipo curva, solo titulo"
810,Modeling regional impacts of climate teleconnections using functional data analysis,include,none,baja,"Aplicacion a teleconexiones climaticas, posible E4, solo titulo"
811,Estimation and inference in functional mixed-effects models,include,none,baja,"Modelos de efectos mixtos funcionales, solo titulo"
812,Using wavelet-based functional mixed models to characterize population heterogeneity in acceleromete,include,none,baja,"Modelos mixtos funcionales wavelet en acelerometria, solo titulo"
813,3D face recognition by functional data analysis,include,none,baja,"Reconocimiento facial 3D via FDA, posible E4, solo titulo"
814,A transformation approach for incorporating monotone or unimodal constraints,include,none,baja,"Restricciones monotonas, conexion a FDA no explicita en titulo"
815,Estimating and depicting the structure of a distribution of random functions,include,none,media,"Estructura de distribucion de funciones aleatorias, metodologia central"
816,Application of data reduction technique in agriculture: A functional approach,include,none,baja,"Reduccion de datos en agricultura, posible E4, solo titulo"
817,Wavelet-based SPC procedure for complicated functional data,include,none,media,SPC basado en wavelets para datos funcionales complejos
818,Exploring between site differences in water quality trends: A functional data analysis approach,include,none,baja,"Tendencias de calidad de agua, posible E4, solo titulo"
819,Functional variance estimation using penalized splines with principal component analysis,include,none,media,Estimacion de varianza funcional con splines penalizados y PCA
820,Quasi-interpolation for linear functional data,include,none,baja,"Cuasi-interpolacion para datos funcionales lineales, solo titulo"
821,Hierarchical functional data with mixed continuous and binary measurements,include,none,alta,"Datos funcionales jerarquicos, metodologia confirmada por resumen"
822,Functional generalized linear models with images as predictors,include,none,alta,"FPCR con imagenes como predictores, metodologia confirmada"
823,The functional data analysis view of longitudinal data,include,none,baja,"Vision de FDA sobre datos longitudinales, solo titulo"
824,Varying-coefficient additive models for functional data,include,none,baja,"Modelos aditivos de coeficiente variable, solo titulo"
825,Semiparametric mixed models for nested repeated measures applied to ambulatory blood pressure monito,include,none,media,"Modelos mixtos semiparametricos, metodologico con dominio medico"
826,Nonparametric mixed effects models for unequally sampled noisy curves,include,none,media,Modelos de efectos mixtos no parametricos para curvas ruidosas
827,Convolutional autoregressive models for functional time series,include,none,baja,"Modelos autorregresivos convolucionales, solo titulo"
828,Methods to assess an exercise intervention trial based on 3-level functional data,include,none,baja,"Evaluacion de intervencion con datos funcionales, posible E4, solo titulo"
829,Using control charts to monitor process and product quality profiles,include,none,baja,"Cartas de control para perfiles funcionales, posible E4, solo titulo"
830,Posterior simulation across nonparametric models for functional clustering,include,none,media,Simulacion posterior para clustering funcional no parametrico
831,Discussion of the paper “analysis of spatio-temporal mobile phone data: a case study in the metropol,include,none,baja,"Discusion de otro paper (mobile phone data), revisar valor sustantivo"
832,Predicting the continuation of a function with applications to call center data,include,none,baja,"Prediccion de continuacion de funcion, call center, solo titulo"
833,Analysis of air quality monitoring networks by functional clustering,include,none,media,"Clustering funcional para calidad del aire, posible E4 pero metodologico"
834,"International Symposium on Knowledge Exploration in Life Science Informatics, KELSI 2004",exclude,E5,baja,"Registro de volumen de actas KELSI 2004, no trabajo individual"
835,Efficient estimation of three-dimensional curves and their derivatives by free-knot regression splin,include,none,alta,"Splines de nudo libre para curvas 3D, metodologia central de seleccion de base"
836,Clustering of time-course gene expression data using functional data analysis,include,none,baja,"Clustering de expresion genica via FDA, posible E4, solo titulo"
837,A mixed model for investigating a population of asymptotic growth curves using restricted B-splines,include,none,media,"Modelo mixto con B-splines restringidos, mencion explicita de base"
838,Model selection using modified AIC and BIC in joint modeling of paired functional data,include,none,media,"Seleccion de modelo AIC/BIC para datos funcionales pareados, PR3"
839,Functional Extended Redundancy Analysis,include,none,alta,"Analisis de redundancia extendida funcional, metodologia central"
840,Nonparametric method for estimating the distribution of time to failure of engineering materials,include,none,baja,"Estimacion no parametrica de tiempo a falla, conexion FDA no explicita"
841,A simultaneous confidence band for sparse longitudinal regression,include,none,alta,"Bandas de confianza para regresion longitudinal dispersa, FDA confirmado"
842,Maximal autocorrelation factors for function-valued spatial/temporal data,include,none,media,Factores de autocorrelacion maxima para datos funcion-valuados
843,Local linear regression for functional predictor and scalar response,include,none,alta,"Regresion lineal local para predictor funcional, metodologia central"
844,Multichannel deconvolution with long-range dependence: A minimax study,include,none,media,"Deconvolucion multicanal, teoria relacionada a FDA"
845,Enhancing multiscale fractal descriptors using functional data analysis,include,none,alta,"Descriptores fractales multiescala via FDA, resumen confirma metodologia"
846,Nonparametric estimation for functional data by wavelet thresholding,include,none,media,"Estimacion no parametrica por umbralizacion wavelet, PR4"
