id,doi,is_oa,source,oa_url,host_type
32,10.1016/j.matcom.2020.07.006,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0378475420302354,publisher
34,10.1002/cem.3160,False,,,
35,10.1016/j.jmva.2024.105400,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12320752/pdf/nihms-2044682.pdf,repository
36,10.1214/20-BA1213,True,unpaywall,https://projecteuclid.org/journals/bayesian-analysis/volume-16/issue-2/Dynamic-Regression-Models-for-Time-Ordered-Functional-Data/10.1214/20-BA1213.pdf,publisher
37,10.1016/j.biosystems.2017.09.002,False,,,
38,10.1002/cjs.11682,False,,,
39,10.1002/cjs.11738,True,unpaywall,http://hdl.handle.net/10754/666182,repository
40,10.1080/02664763.2021.1896683,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/9225670,repository
41,10.1007/s40995-018-0590-0,False,,,
42,10.1007/s12561-023-09393-7,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s12561-023-09393-7.pdf,publisher
43,10.1016/j.csda.2020.107041,True,unpaywall,https://arxiv.org/pdf/2006.16156,repository
44,10.1007/s11634-016-0261-y,False,,,
45,10.1007/s11004-018-9731-4,True,unpaywall,http://hdl.handle.net/10498/30217,repository
46,10.1214/19-AOAS1297,True,unpaywall,https://projecteuclid.org/journals/annals-of-applied-statistics/volume-14/issue-1/Surface-temperature-monitoring-in-liver-procurement-via-functional-variance-change/10.1214/19-AOAS1297.pdf,publisher
47,10.1007/s41096-022-00122-9,False,,,
48,10.1177/09622802251393631,True,unpaywall,https://journals.sagepub.com/doi/pdf/10.1177/09622802251393631?download=true,publisher
49,10.3934/math.2025321,True,unpaywall,http://www.aimspress.com/aimspress-data/math/2025/3/PDF/math-10-03-321.pdf,publisher
50,10.1515/jqas-2019-0047,True,unpaywall,https://arxiv.org/pdf/1908.02423,repository
51,10.1080/01621459.2018.1476242,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/6590079,repository
52,10.1080/10618600.2016.1265526,False,,,
53,10.1093/biostatistics/kxab032,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102887/pdf/kxab032.pdf,repository
54,10.1007/s42519-026-00548-5,False,,,
55,10.1016/j.csda.2023.107727,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11264192/pdf/nihms-1958422.pdf,repository
56,10.3390/en11051120,True,unpaywall,https://www.mdpi.com/1996-1073/11/5/1120/pdf?version=1525258339,publisher
57,10.1016/j.matcom.2024.05.002,True,unpaywall,https://doi.org/10.1016/j.matcom.2024.05.002,publisher
58,10.1007/s11222-025-10734-3,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11222-025-10734-3.pdf,publisher
59,10.1111/biom.12942,True,unpaywall,https://arxiv.org/pdf/1702.04775,repository
60,10.1002/sim.70635,False,,,
61,10.1007/s00362-018-01066-8,False,,,
62,10.3934/cpaa.2020172,True,unpaywall,https://doi.org/10.3934/cpaa.2020172,publisher
63,10.1016/j.cam.2020.112948,False,,,
64,10.1515/math-2022-0501,True,unpaywall,https://www.degruyter.com/document/doi/10.1515/math-2022-0501/pdf,publisher
66,10.1177/0962280220951834,False,,,
67,10.1080/16843703.2026.2630150,False,,,
68,10.1007/978-3-030-26766-7_51,False,,,
70,10.1214/21-EJS1917,True,unpaywall,https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-15/issue-2/Nonlinear-mixed-effects-modeling-and-warping-for-functional-data-using/10.1214/21-EJS1917.pdf,publisher
