id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2198,The Christoffel-Darboux kernel for data analysis,exclude,I1,media,Libro sobre el kernel de Christoffel-Darboux para análisis de datos/ML general; no es FDA/representación en bases ni FPCA. Solo página de aterrizaje.,si
2199,Detecting deviations from second-order stationarity in locally stationary functional time series,include,none,alta,Test de estacionariedad de segundo orden para series de tiempo funcionales; operadores de covarianza/autocovarianza. FDA central.,no
2201,Cointegration in functional autoregressive processes,include,none,alta,"Cointegración en procesos autorregresivos funcionales (H-valuados); econometría, aplicación a distribución del ingreso. FTS central.",no
2202,Atm transaction simulation: combination of ACDs and Cox process,exclude,E1,media,FDA usada solo como método accesorio para aproximar la intensidad de un proceso de Cox; el trabajo trata de modelos ACD/Cox para cajeros. Sin discusión de base.,si
2203,Anomaly detection: a functional analysis perspective,include,none,media,Detección de cambios vía expansión de Karhunen-Loève y subespacios anidados; representación de procesos en base empírica. On-topic PR1/PR2.,si
2207,Functional linear regression with mixed predictors,include,none,alta,"Regresión lineal funcional con predictores mixtos; RKHS, penalización de suavidad + group Lasso, datos observados en puntos discretos. FDA central.",no
2228,Joint models for grid point and response processes in longitudinal and functional data,include,none,media,"Modelos conjuntos para puntos de grilla y procesos respuesta en datos funcionales/longitudinales; KL, recuperación por suavizado. FDA.",si
2230,Testing equality of spectral density operators for functional processes,include,none,alta,Test de igualdad de operadores de densidad espectral para procesos funcionales; procesos lineales funcionales. FTS central.,no
2231,Distributional Limit Theory for Optimal Transport,exclude,I1,alta,"Teoría de límite distribucional para transporte óptimo (planes, mapas, costos), distancia de Wasserstein. No es FDA.",no
2235,The autoregression bootstrap for kernel estimates of smooth nonlinear functional time series,include,none,alta,"Bootstrap de autorregresión para estimadores kernel de series de tiempo funcionales no lineales; modelo FAR(1), menciona FPCA. FTS central.",no
2236,A one-way ANOVA test for functional data with graphical interpretation.,include,none,alta,Test ANOVA de una vía para datos funcionales con interpretación gráfica; aplicación a descentralización fiscal europea. FDA + economía.,no
2243,On filter-type estimation of discretely sampled cyclic long-memory processes,include,none,media,"Estimación tipo filtro de procesos de larga memoria cíclicos discretamente muestreados; base wavelet central al método, datos funcionales. PR4.",si
2247,Asymptotics for spherical functional autoregressions,include,none,media,"Asintótica de autorregresiones funcionales esféricas; armónicos esféricos como base ortonormal, estimación de kernels AR. Contribución metodológica FTS.",si
2253,Nonlinear factor-augmented predictive regression models with functional coefficients,include,none,media,"Modelos de regresión predictiva factor-aumentada con coeficientes funcionales; PCA, suavizado local, aplicación a inflación del Reino Unido. Terminología 'coef. funcional' (no FDA estricto); cuerpo omitido.",si
2261,Functional Extreme-PLS,include,none,alta,"Functional Extreme-PLS: reducción de dimensión extrema en marco funcional discretizado, L2([0,1]), proyección, PLS+SIR. Aplicación a datos financieros de alta frecuencia. FDA central.",no
2263,Minimax prediction in the Functional Autoregressive Model,include,none,alta,"Predicción minimax en el modelo autorregresivo funcional; compara regularización FPCA estándar vs estimador ridge, suavidad funcional. PR2/PR3 directo.",no
2266,Estimation for high-frequency data under parametric market microstructure noise,exclude,I1,alta,"Estimación para datos de alta frecuencia bajo ruido de microestructura de mercado; 'funcionales de volatilidad' = funcionales (mapeos), no FDA. Colisión terminológica.",no
2268,Long range dependence spectral testing from discretely observed functional time series in manifolds,include,none,alta,"Test espectral de dependencia de largo rango en series de tiempo funcionales en variedades; base sieve de armónicos esféricos truncada, reconstrucción series LS. FDA + base.",no
2270,Gaussian Differentially Private Human Faces Under a Face Radial Curve Representation,include,none,media,GDP para caras humanas 3D bajo representación de curvas radiales como conjunto de funciones; propone una representación funcional novedosa. Fronterizo E4 (aplicación a caras); cuerpo omitido.,si
2271,Detecting practically significant dependencies in metric spaces via distance correlations,exclude,I1,media,"Test de dependencias significativas en espacios métricos vía correlación de distancias; datos funcionales es solo uno de varios settings cubiertos, no el foco. No aborda representación en bases.",si
2273,Functional approach to analysis of daily tax revenues,include,none,alta,"Enfoque funcional para análisis de ingresos tributarios diarios; ingresos mensuales como funciones de datos diarios, suavizado y registración. FDA + aplicación económica (PR5).",si
2274,Exponential mixing properties of nonlinear functional autoregressive models,include,none,alta,"Propiedades de mezcla exponencial de modelos autorregresivos funcionales no lineales (NFAR); series de tiempo funcionales, operator learning. FTS central.",no
