id,title_short,decision,reason_code,confidence,rationale
400,Supervised dimension reduction for functional time series,include,none,baja,"Sin resumen; reducción de dimensión en series temporales funcionales, ambiguo pero plausible PR1/PR2."
401,Sasaki metric for spline models of manifold-valued trajectories,include,none,media,"Splines compuestos para representar trayectorias; representación mediante bases, aunque dominio no económico."
402,Functional partially linear single-index model with beta distribution,include,none,media,"Regresión de single-index funcional; aproximación de función desconocida, sin dominio ajeno claro."
403,Bayesian functional graphical models with change-point detection,include,none,media,Modelo gráfico bayesiano funcional con detección de cambios; metodología central FDA.
404,Estimation of sparse functional additive models with adaptive group lasso,include,none,baja,"Sin resumen; modelo aditivo funcional disperso, metodología genérica."
405,Parametric functional principal component analysis,include,none,alta,"FPCA paramétrico, tema central PR2."
406,Function-on-function regression for two-dimensional functional data,include,none,baja,Sin resumen; regresión función-en-función.
407,A data-driven approach in functional linear regression: ensemble empirical mode decomposition-based ,include,none,alta,Usa explícitamente base wavelet para extraer características en regresión funcional.
408,Contagion Patterns Classification in Stock Indices: A Functional Clustering Analysis Using Decision ,include,none,alta,B-splines y curvas Bézier aplicados a índices bursátiles; aplicación económica (PR5) con base explícita.
409,Wavelet transformation of functional data for hyperspectral image classification,include,none,media,"Transformación wavelet como método central, aunque aplicado a imágenes hiperespectrales (no económico)."
410,A two-population extension of the exponential smoothing state space model with a smoothing penalisat,include,none,baja,Esquema de penalización de suavizado en modelo de mortalidad; PR3 tangencial.
411,Deep Learning for Functional Data Analysis with Adaptive Basis Layers,include,none,media,Título explícita 'Adaptive Basis Layers' — elección de base central.
412,ORDINAL PROBIT FUNCTIONAL OUTCOME REGRESSION WITH APPLICATION TO COMPUTER-USE BEHAVIOR IN RHESUS MON,include,none,baja,"Nuevo modelo de regresión (OPFOR); aporte metodológico, aplicación en monos es ilustrativa."
413,Derivative estimation for longitudinal data analysis: Examining features of blood pressure measured ,include,none,baja,"Estimación de derivadas en datos longitudinales; metodología, aplicación médica ilustrativa."
414,Fast covariance estimation for multivariate sparse functional data,include,none,alta,Formulación B-spline tensor-producto explícita para estimación de covarianza.
415,Elastic analysis of irregularly or sparsely sampled curves,include,none,media,"Métodos de análisis elástico de curvas; representación/registro de curvas, dominio de aplicación variado."
416,On function-on-function regression: partial least squares approach,include,none,baja,Sin resumen; regresión función-en-función vía PLS.
417,Gaussian modeling with B-splines for spatial functional data on irregular domains,include,none,alta,B-splines explícitos para datos funcionales espaciales.
418,Modeling the evolution of deaths from infectious diseases with functional data models: The case of C,include,none,alta,Aplicación FDA a COVID-19 en Brasil — antecedente directo PR5/América Latina.
419,Clustering multiply imputed multivariate high-dimensional longitudinal profiles,include,none,media,Clustering de datos funcionales multivariados con PCA para reducción de dimensión.
420,Clustering Functional Data With Measurement Errors: A Simulation-Based Approach,include,none,media,Clustering funcional con errores de medición; metodología central.
421,Multivariate Varying Coefficient Spatiotemporal Model,include,none,baja,"Modelo espaciotemporal motivado por diálisis; aporte es el modelo estadístico, no la aplicación médica en sí."
422,"16th International Conference on Brain Informatics, BI 2023",exclude,E5,alta,"Es el registro de un volumen completo de actas de congreso (16th Intl Conf Brain Informatics), no un trabajo individual."
423,Generalized Spatio-Temporal Regression with PDE Penalization,include,none,media,Penalización de rugosidad en regresión espaciotemporal — relevante PR3.
424,A Methodological Framework for Analyzing and Differentiating Daily Physical Activity Across Groups U,include,none,baja,"Marco de dominio de frecuencia para biomarcadores digitales; ambiguo, sin discusión clara de bases."
425,Estimation for generalized partially functional linear additive regression model,include,none,media,Modelo aditivo lineal funcional parcial generalizado; metodología central.
426,Function-on-function regression models with nonlinear dynamic effect and linear concurrent effect,include,none,media,Regresión función-en-función con efecto dinámico no lineal; metodología central.
427,A Unified Analysis of Multi-task Functional Linear Regression Models with Manifold Constraint and Co,include,none,baja,"Sin resumen; penalización cuadrática compuesta, PR3 tangencial."
428,Functional nonlinear principal component analysis,include,none,media,FPCA no lineal — tema central PR2.
429,Smooth LASSO estimator for the Function-on-Function linear regression model,include,none,media,Estimador LASSO suave para regresión función-en-función.
430,Efficient Functional ANOVA Through Wavelet-Domain Markov Groves,include,none,alta,Método explícito en dominio wavelet para ANOVA funcional.
431,Statistical inference for partially shape-constrained function-on-scalar linear regression models,include,none,media,Inferencia con restricciones de forma en regresión función-en-escalar; metodología central.
432,Fast symmetric additive covariance smoothing,include,none,media,Suavizado rápido de covarianza aditiva simétrica; metodología central.
433,Comparing fpca based on conditional quantile functions and fpca based on conditional mean function,include,none,media,Comparación explícita de variantes de FPCA (cuantil vs media condicional).
434,Elastic functional Cox regression model with shape predictors,include,none,baja,"Regresión de Cox funcional elástica; metodología, dominio de supervivencia ilustrativo."
435,A simple method to construct confidence bands in functional linear regression,include,none,alta,Estimador basado en PCA con funciones base estimadas explícitas — PR2.
436,Simultaneous inference for the mean of repeated functional data,include,none,baja,Sin resumen; inferencia simultánea sobre la media de datos funcionales repetidos.
437,Functional Mixed Effects Model for the Analysis of Dose-Titration Studies,include,none,baja,"P-spline penalizado mencionado explícitamente, aunque aplicación es clínica (dosis-titulación)."
438,ROBUST SMOOTHED CANONICAL CORRELATION ANALYSIS FOR FUNCTIONAL DATA,include,none,alta,Correlación canónica suavizada con expansión en bases y penalización explícitas.
439,Reconciling functional data regression with excess bases,include,none,alta,Título explícitamente sobre exceso de bases en regresión funcional — PR1/PR3 directo.
440,"Modelling multi-scale, state-switching functional data with hidden Markov models",include,none,media,Modelos ocultos de Markov para datos funcionales multiescala; metodología central.
441,Robust functional principal components for irregularly spaced longitudinal data,include,none,media,FPCA robusto para datos longitudinales irregulares — PR2.
442,Functional response regression analysis,include,none,alta,Funciones B-spline explícitas para aproximar la regresión funcional.
443,Clustering nonstationary circadian rhythms using locally stationary wavelet representations,include,none,alta,Wavelets para procesos no estacionarios/irregulares — ya identificado como relevante en cribado manual de zbMATH/arXiv (C3).
444,Detection of Unknown Functional Departure in Generalized Functional Regression,include,none,baja,"Detección de desviaciones funcionales; metodología, aplicación clínica ilustrativa (dosis de fármaco)."
445,A robust estimation based on penalised regularisation for the varying-coefficient additive model,include,none,alta,Splines y regularización penalizada explícitas — PR3.
446,Functional autoencoder for smoothing and representation learning,include,none,alta,Autoencoder funcional para representación mediante coeficientes — PR1 directo.
447,Simultaneous inference and uniform test for eigensystems of functional data,include,none,media,Sistemas propios (eigensystems) relacionados con FPCA.
448,Single-index partially functional linear quantile regression,include,none,media,Regresión cuantil funcional single-index; dataset Tecator típico de literatura de bases FDA.
449,COVID-19 data imputation by multiple function-on-function principal component regression,include,none,media,Regresión FPCA función-en-función para imputación COVID-19 España; aplicación de FPCA.
450,Clustering acoustic emission signals by mixing two stages dimension reduction and nonparametric appr,include,none,baja,"Sin resumen; reducción de dimensión no paramétrica, dominio acústico/ingeniería ambiguo."
451,Functional L-Optimality Subsampling for Functional Generalized Linear Models with Massive Data,include,none,baja,"Sin resumen; submuestreo para GLM funcional, metodología general."
452,Robust estimation with modified Huber's function for functional linear models,include,none,alta,Funciones base de componentes principales funcionales explícitas.
453,Automatic Variable Selection for Partially Linear Functional Additive Model and Its Application to t,include,none,alta,FPCA y expansión en base spline explícitas para selección de variables.
454,Diagnosing faults in electric motors using B-splines and Bayesian Mixture Model,include,none,baja,"B-splines explícitos, aunque aplicación es diagnóstico de fallas en motores (ingeniería)."
455,Nonparametric covariance estimation with shrinkage toward stationary models,include,none,media,Estimación de covarianza no paramétrica con shrinkage; metodología central.
456,10th Scientific Meeting of the Classification and Data Analysis Group of the Italian Statistical Soc,exclude,E5,alta,"Registro de volumen completo de actas (CLADAG 2015), no un trabajo individual."
457,Functional EWMA control chart for phase II profile monitoring,include,none,baja,"Carta de control funcional EWMA para monitoreo de perfiles; aplicación de control de calidad, sin discusión de bases clara."
458,Graph-constrained analysis for multivariate functional data,include,none,baja,"Modelo gráfico funcional multivariado; aporte metodológico, aplicación fMRI ilustrativa."
459,Simulation studies to compare bayesian wavelet shrinkage methods in aggregated functional data,include,none,alta,Comparación explícita de métodos de wavelet shrinkage bayesiano — PR4 directo.
460,A moment-based notion of time dependence for functional time series,include,none,media,Dependencia temporal vía scores de FPCA en series temporales funcionales.
461,Compositional splines for representation of density functions,include,none,alta,Splines composicionales — representación en bases explícita.
462,Pursuit of dynamic structure in quantile additive models with longitudinal data,include,none,baja,Modelos aditivos cuantílicos dinámicos; sin discusión clara de bases.
463,Multiscale Clustering for Functional Data,include,none,baja,Sin resumen; clustering multiescala de datos funcionales.
464,Locally Sparse Estimation for Simultaneous Functional Quantile Regression,include,none,baja,"Regresión cuantil funcional dispersa; metodología, aplicación agrícola ilustrativa."
465,Multivariate functional generalized additive models,include,none,media,Penalización (gMCP) en modelo aditivo generalizado multivariado — PR3.
466,Application of functional data analysis and FTIR-ATR spectroscopy to discriminatewine spirits ageing,exclude,E4,media,Aplicación de FDA a espectroscopia FTIR de vinos (ciencia de alimentos); no discute elección/calidad de base.
467,Simultaneous confidence corridors for mean functions in functional data analysis of imaging data,include,none,baja,"Splines bivariados explícitos, aunque aplicación es imagenología biomédica."
468,Bayesian covariance regression in functional data analysis with applications to functional brain ima,include,none,baja,"Regresión de covarianza bayesiana; aporte metodológico, aplicación en imagenología cerebral ilustrativa."
469,Mixed Data Regression with Compositional Response and an Application in Stock Market Sentiment Analy,include,none,media,Aplicación a sentimiento de mercado bursátil — dominio económico/financiero (PR5).
470,Semi-functional varying coefficient mode-based regression,include,none,baja,"Sin resumen; regresión de coeficiente variable semifuncional, metodología general."
471,smoothEM: A new approach for the simultaneous assessment of smooth patterns and spikes,include,none,media,Suavizado spline con identificación de picos — relacionado con PR4 (irregularidades).
472,Density ratio model with data-adaptive basis function,include,none,alta,Función base adaptativa a los datos explícita en el título.
473,Principal Component Analysis for Distributions Observed by Samples in Bayes Spaces,include,none,baja,"PCA para distribuciones en espacios de Bayes; aplicación geocientífica, metodología de representación distribucional."
474,Fourier approach to goodness-of-fit tests for Gaussian random processes,include,none,media,Enfoque de Fourier explícito para pruebas de bondad de ajuste.
475,A Functional Regression Approach to Facial Landmark Tracking,include,none,baja,Nuevo método de regresión funcional ('Continuous Regression'); aplicación en seguimiento facial es ilustrativa.
476,On uncertainty estimation in functional linear mixed models,include,none,baja,Estimación de incertidumbre en modelos mixtos lineales funcionales; metodología general.
477,Robust estimation for functional logistic regression models,include,none,media,Herramientas de regularización para pendiente funcional en regresión logística — PR3.
478,Online Bayesian learning for mixtures of spatial spline regressions with mixed effects,include,none,media,Mezclas de regresiones spline espaciales — splines explícitos.
479,Functional emulation of high resolution Tsunami modelling over Cascadia,exclude,E4,media,Emulación de simulador de tsunamis; aplicación geofísica sin discusión de elección de base.
480,Bayesian functional data analysis over dependent regions and its application for identification of d,include,none,baja,"Splines de suavizado bayesianos explícitos, aunque aplicación es epigenética."
481,Penalized spline estimation of principal components for sparse functional data: Rates of convergence,include,none,alta,Tasas de convergencia de estimadores spline penalizados para PCA — PR1/PR3 teórico central.
482,Single-index partially functional linear regression model,include,none,baja,Sin resumen; regresión funcional lineal parcial single-index.
483,Multivariate functional clustering and its application to typhoon data,include,none,baja,"Sin resumen; clustering funcional multivariado, aplicación meteorológica (tifones) no descartable sin más info."
484,Functional Regression for Densely Observed Data With Novel Regularization,include,none,alta,Penalización de suavidad y regularización explícitas — PR3.
485,Interval-valued functional clustering based on the improved Euclidean distance with application to a,include,none,baja,"Sin resumen; clustering funcional con distancia euclídea mejorada, aplicación ambiental (calidad del aire)."
486,Nonlinear Functional Modeling Using Neural Networks,include,none,alta,Nueva clase de modelos funcionales no lineales vía redes neuronales; metodología central.
487,Statistical inference in functional semiparametric spatial autoregressive model,include,none,media,Modelo autorregresivo espacial semiparamétrico funcional; cercano a econometría espacial.
488,NeuroPMD: Neural Fields for Density Estimation on Product Manifolds,include,none,baja,"Sin resumen; estimación de densidad en variedades, dominio neurocientífico no inequívoco."
489,Generalized partial functional linear regression for network-linked data,include,none,media,Regresión funcional lineal parcial generalizada para datos en red; metodología general.
490,Variable-Domain Functional Principal Component Analysis,include,none,alta,FPCA de dominio variable — tema central PR2.
491,Mixture of partially functional linear regression,include,none,baja,Sin resumen; mezcla de regresiones funcionales lineales parciales.
492,Short-Term Hourly Ozone Concentration Forecasting Using Functional Data Approach,exclude,E4,media,Pronóstico de concentración de ozono; aplicación ambiental sin discusión de elección de base.
493,Regression Analysis of Asynchronous Longitudinal Functional and Scalar Data,include,none,baja,"Regresión asíncrona longitudinal funcional; aporte metodológico, aplicación en neuroimagen (ADNI) ilustrativa."
494,Oracle-efficient confidence envelopes for covariance functions in dense functional data,include,none,baja,Envolventes de confianza oracle-eficientes para funciones de covarianza; metodología general. Posible duplicado de id 533 (mismo título) — revisar en Zotero.
495,A dynamic interaction varying index coefficient quantile regression model,include,none,baja,Sin resumen; regresión cuantílica con coeficiente de índice variable dinámico.
496,MULTISCALE POISSON PROCESS APPROACHES FOR DETECTING AND ESTIMATING DIFFERENCES FROM HIGH-THROUGHPUT ,exclude,E4,baja,"Sin resumen; título indica dominio de secuenciación genómica de alto rendimiento, ajeno a FDA/bases."
497,A Latent-Class Model for Time-To-Event Outcomes and High-Dimensional Imaging Data,exclude,E4,media,Modelo de clase latente para datos de imagenología MRI de Alzheimer; aplicación médica sin discusión de bases.
498,Robust optimal estimation of location from discretely sampled functional data,include,none,media,Estimación robusta de localización en datos funcionales muestreados discretamente; metodología central.
499,Spatial Functional Data analysis: Irregular spacing and Bernstein polynomials,include,none,media,Polinomios de Bernstein — familia de base explícita.
