id,title_short,decision,reason_code,confidence,rationale
1200,Permutation tests for equality of distributions of functional data,include,none,media,Test de permutacion para igualdad de distribuciones en datos funcionales economicos
1201,Evaluating a Stock Market Pairs Trading Strategy Using a Dependent Functional Data Cointegration Met,include,none,baja,Estrategia de trading de pares via cointegracion funcional (financiero)
1202,On functional processes with multiple discontinuities,include,none,media,"Estimacion de puntos de cambio multiples en procesos funcionales, relevante a finanzas"
1203,Vine copula MFPCA residual control chart for sparse multivariate functional data,include,none,media,MFPCA con copulas vine para datos financieros de alta frecuencia
1204,Forecasting Age- and Sex-Specific Survival Functions: Application to Annuity Pricing,include,none,media,FPCR aplicado a pricing de anualidades
1205,Financial impact of pandemics on pension sustainability: an application for Spain,exclude,I1,media,"Sostenibilidad de pensiones ante pandemias, sin mencion de FDA en el resumen"
1206,Frequency domain theory for functional time series: Variance decomposition and an invariance princip,include,none,media,Teoria de dominio de frecuencia y descomposicion de varianza para FTS
1207,Bayesian Testing of Granger Causality in Functional Time Series,include,none,media,Causalidad de Granger bayesiana en FTS aplicada a curvas de rendimiento
1208,Poisson subsampling for large-scale functional data analysis,include,none,baja,Subsampling Poisson para FDA a gran escala
1209,On Consistent Hypothesis Testing In General Hilbert Spaces,include,none,media,Testing consistente de hipotesis en espacios de Hilbert generales
1210,NETWORK-LEVEL TRAFFIC FLOW PREDICTION: FUNCTIONAL TIME SERIES VS. FUNCTIONAL NEURAL NETWORK APPROACH,include,none,baja,FTS vs red neuronal funcional para prediccion de trafico
1211,"Contemporary Experimental Design, Multivariate Analysis and Data Mining: Festschrift in Honour of Pr",exclude,I1,baja,Festschrift de diseno experimental/mineria de datos sin relacion aparente a FDA
1212,Nonlinear prediction of functional time series,include,none,media,Prediccion no lineal de FTS no estacionarias
1213,Comparative Study of FDA and Time Series Approaches for Seabed Classification from Acoustic Curves,include,E4,media,"Comparacion de FDA y series de tiempo para clasificacion acustica, discusion metodologica comparativa"
1214,Change-point detection in functional time series: applications to age-specific mortality and fertili,include,none,media,"Deteccion de cambios en mortalidad/fertilidad via FTS, FPCA sustantivo"
1215,Scalable multiple changepoint detection for functional data sequences,include,none,media,Deteccion escalable de multiples puntos de cambio en secuencias de datos funcionales
1216,Statistical Process Monitoring Based on Functional Data Analysis,include,none,media,Revision de monitoreo de procesos estadisticos basado en FDA
1217,Factor models for high-dimensional functional time series I: Representation results,include,none,media,"Modelos de factores para FTS de alta dimension, representacion"
1218,Forecasting Canadian Age-Specific Mortality Rates: Application of Functional Time Series Analysis,include,none,media,FTS aplicado a pronostico de mortalidad canadiense
1219,Multipopulation mortality modelling and forecasting: the weighted multivariate functional principal ,include,none,media,FPCA multivariante ponderado para mortalidad multipoblacional
1220,Cointegrated linear processes in Bayes Hilbert space,include,none,media,Procesos cointegrados en espacio de Hilbert de Bayes
1221,The scalar-on-function modal regression for functional time series data,include,none,media,Regresion modal escalar-sobre-funcion para FTS
1222,Nonparametric K-means algorithm with applications in economic and functional data,exclude,E1,media,"K-means no parametrico con aplicacion economica, FDA como componente accesorio sin discutir bases"
1223,A Time Series Regression Model Based on Distance Covariance Weighted Bagging Framework and Functiona,include,none,media,FPCA combinado con Bagging para regresion de series de tiempo
1224,A novel hybrid algorithm to forecast functional time series based on pattern sequence similarity wit,include,none,media,Pronostico hibrido de FTS aplicado a demanda electrica
1225,Stationary count time series models,exclude,I1,media,"Modelos de series de conteo estacionarias, sin relacion a datos funcionales"
1226,Uniform in Number of Neighbor Consistency and Weak Convergence of k-Nearest Neighbor Single Index Co,include,none,media,Teoria de U-estadisticos condicionales para datos funcionales mixing
1227,Independent component analysis: A statistical perspective,exclude,I1,media,"ICA desde perspectiva estadistica general, sin mencion de datos funcionales"
1228,Choosing the right norm for change point detection in functional data,include,none,media,Eleccion de norma para deteccion de puntos de cambio en datos funcionales
1229,Estimating the conditional distribution in functional regression problems,include,none,media,Estimacion de distribucion condicional en regresion funcional
1230,DeepGraphDMD: Interpretable Spatio-Temporal Decomposition of Non-linear Functional Brain Network Dyn,exclude,I1,media,"'Functional' se refiere a redes cerebrales (neurociencia), no a FDA/bases"
1231,A scenario analysis of future Hong Kong age and labour force profiles and its implications,include,none,media,FDA aplicado a proyeccion demografica/laboral de Hong Kong
1232,Forecasting u.S. aggregate stock market excess return: Do functional data analysis add economic valu,include,none,media,FDA no parametrico aplicado a pronostico de exceso de retorno bursatil
