id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2406,Efficient Bayesian hierarchical functional data analysis with basis function approximations using Gaussian-Wisha,include,none,alta,Metodos bayesianos de aproximacion por funciones base y suavizado para FDA; comparacion con BFPCA.,no
2407,Estimation of Functional Principal Components from Sparse Functional Data,include,none,alta,FPCA por expansion en base con MLE; criterio de informacion para numero de bases y rango de covarianza.,no
2408,Efficient spline orthogonal basis for representation of density functions,include,none,alta,"Construccion de base spline ortogonal (ZB-splinets) para FDA/FPCA; compara B-spline, Fourier, wavelets.",no
2409,Splines 'n Lines: Rest-frame galaxy spectral energy distributions via Bayesian functional data analysis,include,none,media,"Marco bayesiano jerarquico para SEDs de galaxias con base B-spline mas lineas; aporte metodologico de base, cuerpo omitido.",si
2410,Sparse Functional Principal Component Analysis in High Dimensions,include,none,alta,FPCA en alta dimension via expansiones en base ortonormal y Karhunen-Loeve; regla de umbral.,no
2411,Compositional splines for representation of density functions,include,none,alta,"Splines composicionales: nueva base spline para densidades en FDA, splines de suavizado, FPCA simplicial.",no
2412,Constrained variable clustering and the best basis problem in functional data analysis,include,none,alta,"Problema de la mejor base en FDA; compara mejor-base wavelet y B-splines, representacion piecewise-constant.",no
2413,Online Functional Principal Component Analysis on a Multidimensional Domain,include,none,alta,FPCA online via tensor product splines penalizados; seleccion dinamica de parametro de suavizado.,no
2414,Bayesian Multivariate Sparse Functional Principal Components Analysis,include,none,alta,FPCA bayesiano multivariante con base spline ortonormal (B-splines ortogonalizadas); discute eleccion de base.,no
2415,Filtrated Common Functional Principal Components for Multivariate Functional data,include,none,media,"FPCA comun filtrada via representacion en base ortonormal; aplicacion neuro, aporte metodologico de base.",si
2416,Functional principal component analysis with informative observation times,include,none,alta,FPCA con tiempos de observacion informativos via splines penalizados ponderados.,no
2417,Penalized Spline M-Estimators for Discretely Sampled Functional Data: Existence and Asymptotics,include,none,alta,"M-estimadores spline penalizados para datos funcionales discretos; regimenes de nudos, numero de bases.",no
2418,Inference for Model Misspecification in Interest Rate Term Structure using Functional Principal Component Analysis,include,none,alta,FPCA en tasas de interes; compara base Nelson-Siegel vs base FPC data-driven; eventos raros (PR4+PR5).,no
2419,Distribution of a Non-parametric Wavelet-based Statistic for Functional Data,include,none,alta,Estadistico no parametrico basado en wavelets para FDA con umbral duro; distribucion analitica.,no
2421,Bayesian Functional Data Analysis over Dependent Regions and Its Application for Identification of Differentially,include,none,media,"FDA bayesiano con splines de suavizado sobre regiones dependientes; aplicacion epigenetica, borderline E1/E4.",si
2422,Randomized Spline Trees for Functional Data Classification: Theory and Application to Environmental Time Series,include,none,media,Randomized Spline Trees: parametros B-spline aleatorios; diversidad de base reduce error de generalizacion.,no
2423,Fast Bayesian Basis Selection for Functional Data Representation with Correlated Errors,include,none,alta,"Seleccion bayesiana rapida de funciones base para representacion funcional; compara regression/smoothing splines, LASSO.",no
2424,Wavelet-based estimation in aggregated functional data with positive and correlated errors,include,none,alta,Metodos bayesianos wavelet para datos funcionales agregados; wavelets vs splines para discontinuidades/picos.,no
2425,Splinets -- Orthogonal Splines and FDA for the Classification Problem,include,none,alta,"Bases spline ortogonales (splinets) para FDA; seleccion de nudos data-driven, ortonormalizacion de B-splines.",no
2428,Wavelet-Based Bayesian Hierarchical Modeling with Regularized Horseshoe Priors for Spatially Correlated Functiona,include,none,alta,"Modelado bayesiano wavelet para datos funcionales espaciales; wavelet vs spline para picos (PM10 Mexico, PR4+PR5).",no
2429,Functional Random Forest with Adaptive Cost-Sensitive Splitting for Imbalanced Functional Data Classification,exclude,E1,media,"Random Forest funcional para clasificacion desbalanceada; usa base/FPCA solo como reduccion de dimension, aporte es el desbalance.",si
2430,BAMIFun: Bayesian Multiple Imputation for Functional Data,include,none,media,Imputacion multiple bayesiana para datos funcionales; usa FPCA + representacion spline penalizada para suavidad.,si
2431,Flexible joint models for multivariate longitudinal and time-to-event data using multivariate functional princip,include,none,media,"Modelos conjuntos con MFPC para efectos aleatorios; compara base MFPC vs P-splines, numero de componentes.",si
