id,title_short,decision,reason_code,confidence,rationale
1600,Functional brain image analysis using joint function-structure priors,exclude,I1,baja,"'Functional' refiere a imagen cerebral (fMRI), no a FDA estadistica"
1601,Asymptotics for random functions moderated by dependent noise,include,none,baja,"Asintotica de funciones aleatorias con ruido dependiente, tema FDA"
1602,Locally stationary functional time series,include,none,alta,"Series temporales funcionales localmente estacionarias, PR4 central"
1603,KPSS test for functional time series,include,none,baja,Test KPSS para series temporales funcionales
1604,Non Parametric Regression Quantile Estimation for Dependent Functional Data under Random Censorship:,include,none,baja,Regresion cuantilica no parametrica para datos funcionales dependientes
1605,Failure probability control approach for service life evaluation in corrosive environment,exclude,I1,baja,"Evaluacion de vida util en ambiente corrosivo, sin relacion con FDA"
1606,Autoregressive forecasting of some functional climatic variations,include,none,alta,"Define modelos autorregresivos funcionales (FAR), metodologia central"
1607,Analysis of multivariate and high-dimensional data,exclude,I1,media,"Libro general de datos multivariantes/alta dimension, sin foco en FDA"
1608,Trend Extraction in Functional Data of Amplitudes of R and T Waves in Exercise Electrocardiogram,include,none,media,"Modela ECG como datos funcionales no estacionarios, prueba de tendencia"
1609,Fixed point and Bregman iterative methods for matrix rank minimization,exclude,I1,media,"Minimizacion de rango matricial, optimizacion, sin relacion con FDA"
1610,Efficiency in multivariate functional nonparametric models with autoregressive errors,include,none,baja,Modelos no parametricos multivariantes funcionales con errores autorregresivos
1611,Testing equality of means when the observations are from functional time series,include,none,alta,Test de igualdad de medias en series temporales funcionales
1612,On-line clustering of functional boxplots for monitoring multiple streaming time series,include,none,baja,Clustering online de boxplots funcionales para series streaming
1613,Gene set differential analysis of time course expression profiles via sparse estimation in functiona,exclude,E4,baja,"Modelo logistico funcional aplicado a expresion genica, dominio ajeno sin discusion de base"
1614,Empirical orthogonal function and functional data analysis procedures to impute long gaps in environ,include,none,baja,Procedimientos de FDA para imputar huecos en datos ambientales
1615,Functional data analysis for volatility,include,none,baja,"FDA aplicado a volatilidad, PR5 directo"
1616,Forecasting of a hierarchical functional time series on example of macromodel for the day and night ,include,none,baja,"Serie temporal funcional jerarquica, revision critica, journal de econometria"
1617,Adaptive varying-coefficient linear models,exclude,E1,media,"Modelos de coeficientes variables; FDA es solo uno de varios contextos motivadores, sin discutir base"
1618,Converting high-dimensional regression to high-dimensional conditional density estimation,exclude,I1,media,"Estimacion de densidad condicional en alta dimension, sin mencion de FDA"
1619,Functional principal component analysis for the explorative analysis of multisite-multivariate air p,include,none,baja,FPCA explicito para series multisite de contaminacion del aire
