id,title_short,decision,reason_code,confidence,rationale
600,Functional data classification: a wavelet approach,include,none,alta,"Aborda clasificacion FDA via semi-metrica basada en umbralizacion wavelet, discute la base explicitamente."
601,Varying-time random effects models for longitudinal data: Unmixing and temporal interpolation of rem,include,none,baja,"Sin resumen; autor Cardot (FDA); titulo sugiere interpolacion de curvas satelitales, probable basado en bases."
602,Classification of gene functions using support vector machine for time-course gene expression data,include,none,baja,"Sin resumen; SVM sobre expresion genica en el tiempo, posible aplicacion FDA a curvas, ambiguo."
603,Kriging for Functional Data,include,none,alta,"Revision de kriging para datos funcionales, aborda representacion y prediccion espacial de curvas."
604,Wavelet-based genetic association analysis of functional phenotypes arising from high-throughput seq,include,none,media,"Wavelets aplicados a asociacion genetica; metodologia basada en FDA wavelet, posible E4 a verificar."
605,Functional Components of Variation in Handwriting,include,none,baja,"Sin resumen; Ramsay, clasico de componentes funcionales de variacion (registro/bases) en escritura."
606,Functional linear models for zero-inflated count data with application to modeling hospitalizations ,include,none,alta,Modelos lineales funcionales con expansion en bases y ML penalizada para datos de conteo.
607,Multivariate functional clustering for the morphological analysis of electrocardiograph curves,include,none,alta,"Reconstruccion funcional, registro y clustering de curvas ECG; metodologia FDA central."
608,Clustering functional data,include,none,baja,"Sin resumen; Tarpey, referencia clasica de clustering de datos funcionales."
609,Local wavelet-vaguelette-based functional classification of gene expression data,include,none,alta,Clasificacion funcional local wavelet-vaguelette para curvas no estacionarias singulares.
610,Study of Mexican free-tailed bat chirp syllables: Bayesian functional mixed models for nonstationary,include,none,alta,Modelo mixto funcional bayesiano con wavelets 2D; metodologia wavelet sustantiva pese al dominio bioacustico.
611,Sampled forms of functional PCA in reproducing kernel hilbert spaces,include,none,alta,Teoria de FPCA muestreada en espacios de Hilbert con nucleo reproductor; nucleo de PR2.
612,A powerful test based on tapering for use in functional data analysis,include,none,alta,Test basado en tapering de coeficientes de Fourier para FDA; metodologia de suavizado.
613,Bivariate Hermite subdivision,exclude,I1,baja,"Subdivision de Hermite bivariada; tema de CAGD/analisis numerico, sin conexion aparente a FDA estadistica."
