id,title_short,decision,reason_code,confidence,rationale
200,Penalized spatial function-on-function regression,include,none,alta,"Regresión function-on-function con penalización tensor B-spline, PR1/PR3."
201,Measurement and Analysis of High Frequency Assert Volatility Based on Functional Data Analysis,include,none,alta,FDA aplicado a volatilidad de activos financieros de alta frecuencia (I1c).
202,An application of functional multivariate regression model to multiclass classification,include,none,alta,Regresión multivariante funcional explícita vía representación en bases.
203,Band depth based initialization of K-means for functional data clustering,include,none,media,Metodología FDA de clustering (band depth); sin discusión explícita de bases.
204,Partial functional partially linear single-index models,include,none,media,Metodología de regresión funcional (single-index parcial).
205,Bayesian adaptive selection of basis functions for functional data representation,include,none,alta,"Selección bayesiana adaptativa de funciones base, PR1/PR3 directo."
206,Multifunctional Principal Component Analysis for Human-Like Grasping,exclude,E4,baja,"Título indica aplicación de FPCA a robótica (grasping), dominio ajeno sin abstract."
207,BAYESIAN ADAPTIVE AND INTERPRETABLE FUNCTIONAL REGRESSION FOR EXPOSURE PROFILES,include,none,media,"Regresión funcional bayesiana adaptativa; exposición ambiental es dato ilustrativo, foco metodológico."
208,Functional Data Analysis of the RF Tactical Data,exclude,E4,media,"Clasificación de señales RF tácticas; FDA como herramienta, dominio ajeno (defensa/ingeniería)."
209,Variable selection and estimation of partially functional linear multiple varying coefficient spatia,include,none,baja,"Metodología FDA (selección de variables, modelo espacial autorregresivo funcional)."
210,Spatiotemporal Besov Priors for Bayesian Inverse Problems,include,none,media,"Priors de Besov (relacionados con bases wavelet) para cambios abruptos, conecta con PR4."
211,Translation-invariant functional clustering on COVID-19 deaths adjusted on population risk factors,include,none,media,"Clustering funcional invariante a traslación; COVID-19 es dato ilustrativo, foco metodológico."
212,Linear mixed-effects model for longitudinal complex data with diversified characteristics,include,none,alta,Menciona explícitamente datos económicos y financieros funcionales (I1c).
213,Correcting Measurement Error and Zero Inflation in Functional Covariates for Scalar-on-Function Quan,include,none,media,Metodología de regresión cuantílica funcional con corrección de error de medición.
214,Latent factor model for multivariate functional data,include,none,alta,"Modelo de factores latentes para datos funcionales multivariados, metodología central."
215,Robust joint modelling of sparsely observed paired functional data,include,none,alta,Modelo conjunto robusto vía componentes principales funcionales (FPCA).
216,Bayesian classification of multiclass functional data,include,none,alta,Clasificación bayesiana con bases B-spline explícitas.
217,logitFD: an R package for functional principal component logit regression,include,none,alta,"Paquete R para regresión logit FPCA, metodología central."
218,Partially functional linear additive model for censored data with heavy-tailed distributions,include,none,baja,"Modelo lineal funcional parcial aditivo, metodología central (solo título)."
219,Nonparametric tests for semiparametric regression models,exclude,I1,baja,"Prueba no paramétrica para modelos semiparamétricos generales; sin mención clara de datos funcionales, posible falso positivo."
220,Generalized functional additive nonlinear models with multimodal interaction effects,include,none,baja,"Modelos aditivos funcionales generalizados, metodología central (solo título)."
221,Semiparametric Partial Functional Regression Model for Estimating Optimal Individualized Treatment R,include,none,media,"Regresión funcional semiparamétrica; medicina personalizada es dominio ilustrativo, foco metodológico."
222,Bivariate Functional Quantile Envelopes With Application to Radiosonde Wind Data,include,none,media,"Envolventes cuantílicas funcionales bivariadas; meteorología es dato ilustrativo, foco metodológico."
223,Functional Modelling of Telecommunications Data∗,include,none,alta,Modelado con suavizado B-spline explícito de datos de telecomunicaciones.
224,Functional Data Regression on Distribution-Valued Data via Logarithm Derivative Quantile Transformat,include,none,alta,"Regresión funcional para datos distribucionales, metodología central."
225,A Functional Joint Model for Survival and Multivariate Sparse Functional Data in Multi-Cohort Alzhei,include,none,media,Modelo conjunto de supervivencia y datos funcionales dispersos; Alzheimer es dato ilustrativo.
226,Functional Beta Regression Model in Alzheimer’s Disease Studies,include,none,baja,"Regresión beta funcional, metodología central (solo título, dominio médico ilustrativo)."
227,Wavelet power spectral domain functional principal component analysis for feature extraction of epil,include,none,alta,"FPCA en dominio espectral wavelet, PR4 directo pese a dominio médico (EEG)."
228,Bivariate Stochastic Functional Linear Models for Gene-based Association Analysis of Quantitative Tr,include,none,baja,"Modelos lineales funcionales estocásticos bivariados, metodología central (solo título)."
229,Functional logistic regression: a comparison of three methods,include,none,media,"Comparación de tres métodos de regresión logística funcional, PR4 directo."
230,SPARSE FUNCTIONAL PRINCIPAL COMPONENT ANALYSIS IN HIGH DIMENSIONS,include,none,baja,"FPCA disperso en alta dimensión, metodología central inequívoca (solo título)."
231,Growth dynamics and heritability for plant high-throughput phenotyping studies using hierarchical fu,exclude,E4,media,Aplicación de FDA jerárquica a fenotipado de plantas; dominio ajeno sin discusión de bases.
232,RSFclust: Robust sparse clustering of functional data using quantile curves,include,none,baja,"Clustering disperso robusto de datos funcionales vía curvas cuantílicas, metodología central."
233,Oracle-efficient estimation for functional data error distribution with simultaneous confidence band,include,none,alta,Estimación con bandas de confianza usando trayectorias B-spline explícitas.
234,Additive Function-on-Function Regression,include,none,alta,"Regresión aditiva function-on-function, metodología central."
