id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2765,Interpretable models for forecasting high-dimensional functional time series,include,none,alta,Descomposicion ANOVA funcional + modelo de factores funcionales via FPCA en bases ortonormales; aporte metodologico central de representacion.,no
2766,Spatial Correlation in Weather Forecast Accuracy: A Functional Time Series Approach,include,none,media,"FTS sobre superficies 2D con base B-spline (resolucion elegida) + GARCH en coeficientes; discute construccion de base, aunque dominio meteorologico (posible E4).",si
2767,Forecasting high-dimensional functional time series with dual-factor structures,include,none,alta,"Modelo de doble factor: FTS + funciones base especificas por poblacion, recuperacion de bases via FPCA; representacion en bases es el objeto.",no
2768,Forecasting of a Hierarchical Functional Time Series on air pollution in Silesia region,include,none,media,"FTS jerarquica y reconciliacion de pronosticos en marco econometrico; no discute eleccion/calidad de base (posible E1), cuerpo omitido.",si
2769,Multiscale Change Point Detection for Functional Time Series,include,none,alta,"Deteccion de puntos de cambio en FTS en espacios de Banach, procesos no estacionarios, aplicacion a datos financieros; relevante a PR4/PR5.",no
2770,A Functional Version of the ARCH Model,include,none,alta,"Conjunto oro #10 (Hormann/Horvath/Reeder). Version funcional del modelo ARCH, datos financieros de alta frecuencia, volatilidad. Ancla de C7.",no
2771,Functional Regression with Nonstationarity and Error Contamination: Economic Impact of Climate Change,include,none,alta,Regresion funcional no estacionaria con cointegracion aplicada al impacto economico del cambio climatico; PR5 y PR4 directos.,no
2772,An operator-level ARCH Model,include,none,alta,"Marco ARCH a nivel de operador de covarianza en espacios de Hilbert, series financieras, retornos intradia S&P 500; linea directa de GARCH funcional (PR4/PR7).",no
2773,A Frequentist Approach to Change Point Detection: Methods and Applications,include,none,media,"Deteccion de puntos de cambio en FTS con FPCA como proyeccion; preprint breve, discusion de base superficial, calidad modesta.",si
2774,Uncovering predictability in the evolution of the WTI oil futures curve,include,none,media,"Metodo FTS (exponential smoothing state space) para curvas de futuros de petroleo WTI; aplicacion economico-financiera, PR5. Profundidad de base no clara en extracto.",si
2775,A prediction interval for a function-valued forecast model,include,none,alta,Modelo KWF (Kernel+Wavelet+Functional) con base WAVELET explicita para series no estacionarias de carga electrica; PR4 directo (wavelets vs procesos no suaves).,no
