id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2582,Uncovering Regions of Maximum Dissimilarity on Random Process Data,include,none,media,"Metodología FDA: funciones parámetro vía representación en base, inferencia bayesiana INLA; aplic. criminología/finanzas/medicina. Posible E1, base es herramienta.",si
2583,Functional-Edged Network Modeling,include,none,media,"Modelado de redes con aristas funcionales; descomposición de Tucker funcional, regulariza matrices de base. Discusión de base probablemente en métodos omitidos.",si
2584,Partially Functional Dynamic Backdoor Diffusion-based Causal Model,include,none,media,Inferencia causal con variables funcionales vía coeficientes de expansión en base; da garantías teóricas sobre la expansión en base. Aplic. contaminación aire.,si
2585,A unified approach for testing in Hilbert spaces on incomplete data,include,none,baja,"Contraste de hipótesis en espacios de Hilbert con datos incompletos; datos funcionales como uno de varios settings, no discute elección de base. Fronterizo E1.",si
2586,Function-On-Function Regression Through Separable Neural Operators,include,none,media,Regresión función-a-función vía operadores neuronales separables con funciones de base output-dependientes; consistencia. Aplic. oceanográfica (Argo).,si
2588,High-dimensional Functional Graphical Model Structure Learning via Neighborhood Selection Approach,include,none,alta,Modelo grafico funcional: estudia EXPLÍCITAMENTE el efecto de la elección de la base para reducción de dimensión y da criterio heurístico para elegirla. Directamente PR1/PR3.,no
2589,Semi-parametric Functional Classification via Path Signatures Logistic Regression with Adaptive Orde,include,none,media,Clasificación funcional vía firmas de camino (representación libre de base) con selección adaptativa del orden de truncamiento por criterio penalizado. PR3.,no
2590,Flexible Bayesian Nonparametric Product Mixtures for Multi-scale Functional Clustering,include,none,media,Clustering funcional multi-escala centrado en expansiones en base para funciones de alta dimensión; priors DP sobre subconjuntos de coeficientes de base.,si
2591,Adaptive Ridge-Penalized Functional Local Linear Regression,include,none,alta,Regresión local lineal funcional con penalización ridge adaptativa; aborda sensibilidad a la dimensión J del subespacio de proyección y penalización de rugosidad por base. PR3.,no
2592,Regression Analyses of Distributions using Quantile Functional Regression,include,none,media,Regresión funcional cuantílica: modela distribución marginal completa vía función cuantil como dato funcional. Contribución metodológica; dominio radiomica (posible E4).,si
2594,Probabilistic size-and-shape functional mixed models,include,none,media,"Modelos mixtos funcionales de tamaño-y-forma; recuperación de efecto fijo bajo transformaciones unitarias del Hilbert, fase/amplitud. Metodología FDA.",si
2599,Functional proportional hazards mixture cure model and its application to modelling the association ,include,none,media,Modelo funcional de riesgos proporcionales con cura; enfoque penalizado por splines con penalización de rugosidad. Contribución metodológica; dominio salud (posible E4).,si
2600,Testing for the Rank of a Covariance Operator,include,none,alta,Test para el rango de un operador de covarianza; central para métodos FDA que requieren representaciones de baja dimensión (FPCA u otras). Directamente PR2/PR3.,no
2601,"Gaussian Process Differential Ensembles for Joint Inference on Curves, Derivatives, and Integrals",include,none,media,Ensembles diferenciales de procesos gaussianos; aplica operadores derivada/integral a funciones de base Laplaciano-Dirichlet. Metodología de suavizado funcional.,si
2604,A Stochastic Process Model for Time Warping Functions,include,none,media,"Modelo de proceso estocástico para funciones de warping temporal; adopta base L2 del Hilbert para representación, permite FPCA. Metodología FDA (registro).",no
2605,Impulse data models for the inverse problem of electrocardiography,exclude,E4,media,Problema inverso de electrocardiografía vía red neuronal + funciones de base gaussianas como herramienta de descomposición de señal; no es metodología FDA ni discute la base.,si
2606,Supervised Learning of Functional Outcomes with Predictors at Different Scales: A Functional Gaussia,include,none,media,Aprendizaje supervisado de resultados funcionales con predictores a múltiples escalas vía proceso gaussiano funcional. Dominio experimentos por computadora (posible E4).,si
2614,How far can symmetry help? Phase transitions and symmetry selection in sparse functional data analys,include,none,media,FDA dispersa: transición de fase de la superficie de covarianza y selección de simetría; tasas minimax. Teoría de estimación de covarianza/FPCA.,no
2615,EEG-EyeTrack: A Benchmark for Time Series and Functional Data Analysis with Open Challenges and Base,include,none,baja,Benchmark de datos para FDA (reconstrucción de movimientos oculares desde EEG) con redes neuronales funcionales de referencia. Dominio EEG; posible E1/E4.,si
2616,Functional Principal Component Analysis for Cointegrated Functional Time Series,include,none,alta,"FPCA para series de tiempo funcionales cointegradas; modificación de FPCA como herramienta estadística nueva. Series económicas no estacionarias, PR5.",no
2617,Dynamic Functional Principal Component,include,none,alta,"FPCA dinámico: critica el FPCA estático para series de tiempo y propone versión dinámica en dominio de frecuencia. Metodología FPCA central, PR2.",no
2618,Functional data analysis: An application to COVID-19 data in the United States,exclude,E4,media,"Aplicación pura de métodos FDA estándar (FPCA, correlación canónica, clustering, FTS) a datos COVID-19 de EE.UU.; sin novedad metodológica ni discusión de base. Dominio epidemiológico.",si
2619,Functional data analysis in the Banach space of continuous functions,include,none,media,Desarrolla metodología FDA en el espacio de Banach de funciones continuas (en vez de L2-Hilbert); motivado por limitaciones de la métrica L2. Relevante a elección de representación.,no
2620,Bayesian functional data analysis in astronomy,exclude,E4,media,"Artículo ""Perspective"" en MDPI Phys. Sci. Forum sobre FDA bayesiano en astronomía; dominio ajeno, pieza corta de opinión/proceedings.",si
2621,Efficient Bayesian functional principal component analysis of irregularly-observed multivariate curv,include,none,alta,FPCA bayesiano eficiente para curvas multivariadas observadas irregularmente; marco jerárquico con scores FPC compartidos. Metodología FPCA central.,no
2622,Remaining Useful Life Estimation Using Functional Data Analysis,include,none,media,Estimación de vida útil remanente vía MLP funcional; contribución metodológica pero dominio prognosis industrial y poca discusión de base (posible E1/E4).,si
2623,Stochastic Volatility Regression for Functional Data Dynamics,include,none,media,Regresión de volatilidad estocástica para dinámica de datos funcionales; discute que los modelos FDA asumen suavidad idéntica y dan representación inadecuada. Discusión de calidad de representación.,si
2624,A Visual Analytics Approach for Hardware System Monitoring with Streaming Functional Data Analysis,exclude,E1,media,"Enfoque de analítica visual para monitoreo de hardware con FDA por streaming; la contribución es el sistema de visualización (IEEE TVCG), FDA es el motor analítico, no discute la base.",si
2625,A Functional Data Analysis Approach to Evolution Outlier Detection for Grouped Smart Meters,include,none,media,"Detección de outliers de evolución en medidores inteligentes agrupados vía profundidad funcional; contribución metodológica, datos de consumo eléctrico (económico-adyacente).",si
2626,Registration for Incomplete Non-Gaussian Functional Data,include,none,media,"Registro de datos funcionales incompletos y no gaussianos; separación fase/amplitud, usa FPCs. Metodología FDA (registro).",si
2627,Statistical Analysis of Network Collections Using Persistent Homology and Functional Data Analysis,include,none,media,Análisis estadístico de colecciones de redes vía homología persistente + FDA; FDA es una de dos herramientas centrales (posible E1). Redes financieras entre aplicaciones.,si
2628,The EE-Classifier: A classification method for functional data based on extremality indexes,include,none,media,"EE-Classifier: clasificación de datos funcionales vía índices de extremalidad (epígrafe/hipógrafo), revisa métodos basados en profundidad. Autores latinoamericanos (Colombia), PR5.",no
2629,Phenology curve estimation via a mixed model representation of functional principal components: Char,include,none,media,Estimación de curva de fenología vía representación de modelo mixto de FPCs; regresión armónica + FPCA. Autores mexicanos (PR5); dominio teledetección vegetal (posible E4).,si
2630,Noise reduction for functional time series,include,none,alta,Reducción de ruido para series de tiempo funcionales extendiendo FPCA; proyección óptima MISE que separa dinámica de ruido. Metodología FTS central.,no
2631,On Consistency and Sparsity for High-Dimensional Functional Time Series with Application to Autoregr,include,none,alta,"Consistencia y sparsity para series de tiempo funcionales de alta dimensión con autorregresiones; medida de estabilidad funcional espectral. Metodología FTS, económico-adyacente.",no
2632,Practical Forecasting of Environmental Maps: A Functional Data Approach,include,none,media,Pronóstico de mapas ambientales vía enfoque de datos funcionales (series de tiempo de superficies). Contribución metodológica; dominio ambiental (posible E4).,si
2633,A Unified Principal Components Analysis for Stationary Functional Time Series,include,none,alta,"PCA unificado para series de tiempo funcionales estacionarias; ""filtros funcionales óptimos"" que unifican y mejoran FPCA convencional. Directamente PR2/PR3.",no
2634,Intraday FX Volatility-Curve Forecasting with Functional GARCH Approaches,include,none,alta,"Pronóstico de curvas de volatilidad intradía de divisas (FX) con modelos GARCH funcionales; FPCA multinivel, heterocedasticidad condicional, VaR. Directamente PR4/PR5/PR7.",no
2635,Enhancing Mean-Reverting Time Series Prediction with Gaussian Processes: Functional and Augmented Da,include,none,media,"Predicción de series con reversión a la media vía procesos gaussianos con estructuras de datos funcionales; pronóstico financiero, volatilidad, ratios de Sharpe. PR5.",si
2636,Functional Time Series,include,none,media,Artículo de revisión/introducción a series de tiempo funcionales: técnicas de dependencia temporal en FDA. Relevante al estado del arte de FTS.,si
2637,Stable Multivariate Functional Time Series Prediction for Major Geomagnetic Indices,include,none,media,Predicción estable de series de tiempo funcionales multivariadas para índices geomagnéticos; marco robusto con segmentos solapados y predictores exógenos. Contribución metodológica; dominio clima espacial (posible E4).,si
2638,Permutation Tests for Equality of Distributions of Functional Data,include,none,alta,"Tests de permutación para igualdad de distribuciones de datos funcionales; autores de Economía (Duke/Northwestern), datos económicos (consumo de electricidad/gas). Metodología + PR5.",no
2639,Parameter clustering in Bayesian functional PCA of fMRI data,include,none,media,Clustering de parámetros en FPCA bayesiano (PCl-fPCA); fusiona FDA y no-paramétrica bayesiana. Contribución metodológica FPCA; dominio fMRI/neurociencia (posible E4).,si
2640,Bootstrap methods for stationary functional time series,include,none,alta,"Métodos bootstrap para series de tiempo funcionales estacionarias; basados en FPCA, comparan tres métodos para la covarianza de largo plazo. Metodología FTS central.",no
2641,Review of Clustering Methods for Functional Data,include,none,alta,Revisión de métodos de clustering para datos funcionales; sistematiza el campo. Directamente útil para el estado del arte.,no
2642,FuNVol: A Multi-Asset Implied Volatility Market Simulator using Functional Principal Components and ,include,none,alta,"FuNVol: simulador de superficies de volatilidad implícita multi-activo vía componentes principales funcionales y SDEs neuronales. Directamente PR5/PR7 (financiero, volatilidad implícita).",no
2643,Model-Based Clustering and Classification of Functional Data,include,none,alta,Clustering y clasificación basados en modelos para datos funcionales; modelos de mezcla / datos latentes en marco FDA. Metodología FDA central.,no
2645,Principal component analysis of periodically correlated functional time series,include,none,alta,"PCA para series de tiempo funcionales periódicamente correlacionadas; filtros operador-valuados periódicos, fórmulas de inversión. Variante de FPCA, metodología central.",no
2646,Bayesian Spatial Homogeneity Pursuit of Functional Data: an Application to the U.S. Income Distribut,include,none,alta,Búsqueda bayesiana de homogeneidad espacial de datos funcionales: distribución del ingreso de EE.UU. vía curvas de Lorenz. Directamente PR5 (económico) + metodología.,no
2647,Simultaneous Inference for Partially Observed Functional Time Series,include,none,alta,Inferencia simultánea para series de tiempo funcionales parcialmente observadas y dependientes; modelado en espacio de funciones acotadas con norma supremo. Metodología FTS central.,no
