id,title_short,decision,reason_code,confidence,rationale
1800,Functional ARCH directional dependence via copula for intraday volatility,include,none,alta,"fARCH + copula para volatilidad intradia, PR4/PR5 directo"
1801,Systematic and iterative development of a smartphone app to promote sun-protection,exclude,I1,alta,"App de salud/turismo, sin relacion a FDA; match espurio en 'volatile populations'"
1802,Evaluation of a Functional Time Series Model for Forecasting Inflation in Uganda,include,none,baja,"Solo titulo; FTS aplicado a inflacion, PR5 claro"
1803,Optimal transport convergence of conditional distribution estimation for single-indexed locally stationary FTS,include,none,baja,"Solo titulo; FTS localmente estacionaria, PR1/PR4"
1804,Factor Modeling for High-Dimensional Functional Time Series,include,none,alta,"Modelo factorial funcional de alta dimension, PR1/PR5"
1805,Volatility asymmetry in functional threshold GARCH model,include,none,alta,"fGARCH umbral, volatilidad financiera, PR4/PR5"
1806,A comparative analysis of forecasting models for air temperature,include,none,baja,"Solo titulo; comparativa incluye enfoque funcional, dominio meteorologia (E4 borde)"
1807,A functional limit theorem for dependent sequences with infinite variance stable limits,exclude,I1,alta,"'Funcional' en sentido de TCL de procesos, no FDA/bases"
1808,A Functional Garch Model with Multiple Constant Parameters,include,none,baja,"Solo titulo; fGARCH, PR4/PR5 claro"
1809,Sustainability-focused international PBL project,exclude,I1,alta,"Educacion en ingenieria, sin relacion a FDA"
1810,Dynamics of financial returns densities: functional approach applied to Bovespa,include,none,baja,"Solo titulo; FDA aplicado a mercado brasileno, PR5/regional"
1811,Frontiers in time series and financial econometrics: An overview,include,none,baja,"Solo titulo, sin palabra funcional; ante la duda se incluye"
1812,Functional Stochastic Volatility in Financial Option Surfaces,include,none,baja,"Solo titulo; volatilidad funcional financiera, PR4/PR5"
1813,A Plug-in Bandwidth Selection Procedure for Long-Run Covariance with Stationary FTS,include,none,alta,"Seleccion de ancho de banda para FTS, PR3"
1814,Forecasting High-Dimensional Financial Functional Time Series,include,none,alta,"FTS financiero alta dimension, PR5"
1815,Testing for independence between functional time series,include,none,alta,"Metodologia FDA general, PR1"
1816,Simultaneous inference of the mean of functional time series,include,none,alta,"Usa suavizado por splines, PR1/PR3"
1817,Conjugate processes: Theory and application to risk forecasting,exclude,I1,media,"Procesos ciclicos continuos, sin representacion funcional/bases evidente"
1818,Forecasting stock index futures intraday returns: Functional time series model,include,none,alta,"FPCA explicito, PR2/PR5"
1819,Forecasting electricity prices in an optimization hydrothermal problem,exclude,I1,alta,"Optimizacion energetica, sin senal FDA en titulo"
1820,Granger causality of bivariate stationary curve time series,include,none,alta,"Series de curvas, PR1/PR5"
1821,Functional volatility forecasting,include,none,alta,PR4/PR5 directo
1822,Modeling Functional Time Series and Mixed-Type Predictors With Partially Functional Autoregressions,include,none,alta,"Autorregresion funcional, PR1/PR5"
1823,Functional Conditional Volatility Modeling With Missing Data: Energy Commodities,include,none,alta,"Regresion heterocedastica funcional, PR4/PR5"
1824,Co-processing - Towards economic sustainability,exclude,I1,alta,"Sostenibilidad industrial, sin relacion a FDA"
1825,Drought interval simulation using functional data analysis,include,none,media,"FDA aplicado a hidrologia (E4 borde), posible discusion metodologica"
1826,Development of Functional Quantile Autoregressive Model for River Flow Curve Forecasting,include,none,media,"Desarrollo metodologico funcional, dominio hidrologia (E4 borde)"
1827,Functional time series models for ultrafine particle distributions,include,none,media,"Modelo bayesiano FTS, dominio salud/ambiental (E4 borde)"
1828,LLM-Guided Ensemble Learning for Contextual Bandits with Copula and Gaussian Process Models,exclude,I1,alta,"Bandits contextuales con ML, sin relacion real a FDA"
1829,Optimal software free trial strategy,exclude,I1,alta,"'Version funcional' de software, no FDA; dominio marketing/software"
1830,Functional Volatility Relationship Analysis in International Crude Oil Futures Markets,include,none,alta,"fGARCH-X, PR4/PR5"
1831,Cognitive behavior therapy for anxious and depressed youth,exclude,I1,alta,"Salud mental/app movil, sin relacion a FDA"
1832,Clustering-based improvement of nonparametric FTS forecasting: household load curves,include,none,baja,"Solo titulo; metodologia FTS no parametrica, dominio energia"
1833,Consumer-based approaches for adaptive toileting system for children,exclude,I1,alta,"Tecnologia asistiva infantil, sin relacion a FDA"
1834,Augmented functional time series representation and forecasting with Gaussian processes,include,none,baja,"Solo titulo; representacion FTS, PR1"
1835,On-line detection of changes in the shape of intraday volatility curves,include,none,baja,"Solo titulo; curvas de volatilidad, PR4/PR5"
