id,title_short,decision,reason_code,confidence,rationale
1000,Functional data analysis for gait curves study in Parkinson's disease,include,none,baja,FDA aplicado a marcha/Parkinson; sin resumen para verificar discusion de base
1001,BOLD responses to visual stimulation in survivors of childhood cancer,exclude,I1,baja,Titulo sin terminos FDA/base/wavelet/spline visibles; neuroimagen sin conexion aparente
1002,FPCA-RBF-ELM-Based Gearbox Fault Detection Method,include,none,baja,"FPCA explicito en titulo; deteccion de fallas en engranajes, sin resumen"
1003,Continuous visual field motion impacts the postural responses of older and younger women during and ,exclude,E1,alta,"fPCA usado como herramienta accesoria en biomecanica, sin discutir base/representacion"
1004,Functional extreme rainfall data in Petaling Jaya,include,none,baja,Titulo sugiere FDA aplicado a lluvia extrema; sin resumen
1005,Forensically useful mid-term and short-term temperature reconstruction for quasi-indoor death scenes,exclude,E4,media,"FDA/Fourier usado en reconstruccion forense, sin comparar familias de base"
1006,Green electrochemical approach for simultaneous quantification of Dapoxetine hydrochloride and Tadal,include,none,baja,"FPCA explicito en titulo, quimica analitica; sin resumen"
1007,Characterization of porcine skin as a model for human skin studies using infrared spectroscopic imag,exclude,I1,baja,Sin terminos FDA/base visibles; espectroscopia de piel
1008,Estimating tissue deformation between functional images induced by intracranial electrode implantati,exclude,I1,baja,"'Functional images' = fMRI, no FDA estadistico; registro con splines generico"
1009,Forecasts of COPD mortality in Australia: 2006-2025,include,none,media,"Series temporales funcionales con funciones base explicitas, aplicado a mortalidad"
1010,Elastic registration of functional MRI data to sensorimotor cortex,exclude,I1,baja,"fMRI (imagenes funcionales), no FDA estadistico"
1011,Feature extraction of auto insurance size of loss data using functional principal component analysis,include,none,media,FPCA aplicado a datos financieros de seguros (perdidas)
1012,Parametric and Semiparametric Approaches to Analyzing Device-Based Measures of Energy Expenditure in,include,none,media,"Compara modelo B-spline semiparametrico vs parametrico, aplicado a fisiologia"
1013,Elastic registration of fMRI data using Bézier-spline transformations,exclude,I1,baja,"fMRI + registro spline generico, sin FDA estadistico"
1014,Reorientation to vertical modulated by combined support surface tilt and virtual visual flow in heal,exclude,I1,baja,Sin terminos FDA/base visibles
1015,Higher spatial resolution and sensitivity in whole brain functional MRI at 7T using 3D EPI accelerat,exclude,I1,alta,"Tecnica de adquisicion fMRI, sin contenido estadistico FDA"
1016,An Integrated Uncertainty Quantification Model for Longitudinal and Time-to-Event Data,exclude,E1,media,"FPCA como submodelo accesorio en prediccion de vida util, sin discutir base"
1017,Detrending phase drift: A preprocessing step to improve the effectiveness of the UNFOLD technique,exclude,I1,alta,"Tecnica fMRI (UNFOLD), sin contenido FDA estadistico"
1018,Association of cardiovascular events and lipoprotein particle size: Development of a risk score base,include,none,media,"Regresion con base de splines cubicos naturales y seleccion de suavidad, riesgo cardiovascular"
1019,Advanced machine learning algorithms for flood susceptibility modeling — performance comparison: Red,exclude,I1,baja,Sin terminos FDA/base visibles; ML para inundaciones
1020,Some Paradoxical Perspectives on Approaches and Structures in Functional Data Analysis,include,none,alta,"Paper metodologico FDA: polinomios de Bernstein + wavelets, modelo lineal funcional"
1021,Trunk and hip muscle activity in early walkers with and without cerebral palsy - A frequency analysi,exclude,E1,media,"FPCA como herramienta accesoria para comparar grupos EMG, sin discutir base"
1022,Multilayer Perceptron for Sparse Functional Data,include,none,alta,"Estimacion de funciones base para datos funcionales dispersos, metodologico"
1023,Gated blood pool tomography with Fourier analysis in diagnosis of arrhythmogenic right ventricular c,exclude,I1,baja,"Analisis de Fourier generico en cardiologia, sin frase FDA"
1024,Mixture model-based functional discriminant analysis for curve classification,include,none,alta,"Analisis discriminante funcional por mezclas, compara mezclas de splines"
1025,A function-on-function linear regression approach for short-term electric load forecasting,include,none,alta,"Regresion funcion-en-funcion con aproximacion B-spline, pronostico de carga electrica"
1026,Classifying infinite-dimensional data with unified basis functions: An effective machine learning ap,include,none,baja,"Basis functions explicito, datos infinito-dimensionales; sin resumen"
1027,Multi-source heterogeneous time series data processing and chatter prediction based on the method of,include,none,baja,"'FDA-LSTM' en titulo; proceso industrial, sin resumen"
1028,Functional data clustering using K-means and random projection with applications to climatological d,include,none,baja,"Clustering de datos funcionales explicito; climatologia, sin resumen"
1029,Wavelet and K-L seperability based feature extraction method for functional data classification,include,none,baja,Wavelet + clasificacion de datos funcionales explicito; sin resumen
1030,Fusion of contrast-enhanced breast MR and mammographic imaging data,exclude,I1,baja,Sin terminos FDA/base visibles; fusion de imagenes mamograficas
1031,Pulmonary vascular impedance and recipient chronic pulmonary hypertension following cardiac transpla,exclude,I1,baja,Sin terminos FDA/base visibles; cardiologia
1032,Multi-task function-on-function regression with co-grouping structured sparsity,include,none,baja,Regresion funcion-en-funcion explicito; sin resumen
1033,Comparing rainfall patterns between regions in Peninsular Malaysia via a functional data analysis te,include,none,baja,Tecnica de FDA explicita para lluvia; sin resumen
1034,Comparison of large-scale human brain functional and anatomical networks in schizophrenia,exclude,I1,alta,"Wavelets usados solo para estimar conectividad, sin marco FDA/representacion en base"
1035,SPHARM-based spatial fMRI characterization with intersubject anatomical variability reduction,exclude,I1,baja,"fMRI (SPHARM), sin frase FDA"
1036,Automatic deformable PET/MRI registration for preclinical studies based on B-splines and non-linear ,exclude,I1,baja,"B-splines para registro de imagenes generico, sin marco FDA"
1037,Fusion trees for fast and accurate classification of hyperspectral data with ensembles of γ-divergen,exclude,I1,baja,"RBF generico en clasificacion hiperespectral, sin conexion FDA clara"
1038,COLLINARUS: Collection of image-derived non-linear attributes for registration using splines,exclude,I1,baja,"Registro por splines generico, sin marco FDA"
1039,Extracting MRS discriminant functional features of brain tumors,include,none,media,B-splines no uniformes en marco FDA para clasificar tumores via espectros MRS
1040,Music Genre Classification Based on Functional Data Analysis,include,none,alta,FDA con descomposicion de Fourier adaptativa para clasificar genero musical
1041,Using basis expansions for estimating functional PLS regression. Applications with chemometric data.,include,none,alta,"PLS funcional con expansion en base, comparado con FPCR, datos quimiometricos"
1042,Characterization and clustering of intra-day physical activity patterns using accelerometry among se,include,none,media,"Suavizado Fourier para crear matriz de datos funcionales, clustering de actividad fisica"
1043,Exponentially weighted moving average-based procedure with adaptive thresholding for monitoring nonl,exclude,I1,baja,Sin terminos FDA/base visibles; monitoreo de perfiles no lineales
1044,Region-based association test for familial data under functional linear models,include,none,alta,"Modelo lineal funcional compara bases B-spline vs Fourier explicitamente, genetica"
1045,Peak alignment for herbal fingerprints from liquid chromatography-high resolution mass spectrometry ,exclude,E1,media,"Wavelet+FPCA como herramientas accesorias de alineacion de picos, sin discutir base"
1046,Multilevel analysis of trunk surface measurements for noninvasive assessment of scoliosis deformitie,exclude,I1,baja,Sin terminos FDA/base visibles; escoliosis
1047,"Exploratory analysis on the performance of K-means, Kmeans.fd and K-median in clustering contaminate",include,none,baja,Clustering de datos funcionales explicito (PM10); sin resumen
1048,Quantitative multi-modal functional MRI with blood oxygenation level dependent exponential decays ad,exclude,I1,baja,"Metodo fMRI (BOLDED AFFAIR), sin FDA estadistico"
1049,Model-based functional mixture discriminant analysis with hidden process regression for curve classi,include,none,alta,"Analisis discriminante funcional por mezclas (posible duplicado de id 1024, distinto venue - verificar)"
1050,Statistical evaluation of waveform collapse reveals scale-free properties of neuronal avalanches,include,none,media,"Test estadistico FDA con base de Fourier, aplicado a avalanchas neuronales"
1051,A Novel Divide and Merge Approach for Improved Classification of Functional Data,include,none,baja,Clasificacion de datos funcionales explicito; sin resumen
