id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2649,Approximate Factor Models for Functional Time Series,include,none,alta,Modelo de factores aproximados para FTS aplicado a curvas de rendimiento y mortalidad; compara con FPCA. Central a I1/PR5.,no
2650,White noise testing for functional time series via functional quantile autocorrelation,include,none,media,Test de ruido blanco para FTS con aplicacion a datos financieros de alta frecuencia. FDA aplicada a series financieras.,no
2651,Functional Time Series Analysis Based on Records,include,none,media,"Herramientas no parametricas para FTS (curvas record, test de raiz unitaria). Metodologia FDA para series funcionales.",no
2652,A Darling-Erdős-type CUSUM-procedure for functional data II,include,none,alta,Test CUSUM tipo Darling-Erdos para FTS usando FPCA (eigenfunciones del operador de covarianza de largo plazo); menciona ARCH funcional.,no
2653,Detection of Structural Distortions in Functional Time Series,include,none,media,"Deteccion bayesiana de rupturas estructurales en FTS, representacion en espacio de estados, datos financieros y de temperatura.",no
2654,Convergence of covariance and spectral density estimates for high-dimensional functional time series,include,none,media,Teoria de convergencia para estimadores de covarianza y densidad espectral en FTS de alta dimension; aplica a FPCA dinamico.,no
2655,A Skew-t-Normal Multi-Level Reduced-Rank Functional PCA Model with Applications to Replicated `Omics,include,none,media,Modelo FPCA multinivel de rango reducido (skew-t-normal); contribucion metodologica de FPCA pese a aplicacion omica.,no
2656,Prokhorov Metric Convergence of the Partial Sum Process for Reconstructed Functional Data,include,none,baja,"Teoria de probabilidad para FDA (principios de invarianza, sumas parciales, datos funcionales reconstruidos de observaciones dispersas). Tangencial pero FDA.",si
2657,Whole-Volume Clustering of Time Series Data from Zebrafish Brain Calcium Images via Mixture Modeling,exclude,E4,media,Clustering de imagenes de calcio del cerebro de pez cebra via modelado de mezclas; metodologia FDA basada en mezclas gaussianas aplicada a neuroimagen sin discusion de base.,si
2658,Linear Processes for Functional Data,include,none,alta,"Estado del arte de procesos lineales para datos funcionales (ARMA funcional); menciona PCA/regresion, curvas de tasas de interes.",no
2659,A General Theory for Large-Scale Curve Time Series via Functional Stability Measure,include,none,media,Teoria general para series de curvas de gran escala via medida de estabilidad funcional; FPCA y autorregresion funcional vectorial.,no
2660,Functional Data-Driven Quantile Model Averaging with Application to Cryptocurrencies,include,none,alta,"Promediado de modelos cuantiles para datos funcionales aplicado a criptomonedas (VaR, riesgo de cola); seleccion del numero de componentes via CV. PR3/PR5.",no
2661,Clustering of functional boxplots for multiple streaming time series,include,none,media,"Micro-clustering de boxplots funcionales para series de flujo; estructuras de datos funcionales, estadisticos funcionales basicos.",no
2662,Biarchetype analysis for univariate functional data. An application to macroeconomic financial time ,include,none,alta,"Analisis biarchetype para datos funcionales univariados aplicado a rendimientos de bonos soberanos europeos 2001-2025. FDA en series financieras, PR5.",no
2663,Estimating functional time series by moving average model fitting,include,none,alta,"Estimacion de FTS via ajuste de media movil funcional; proyecciones en direcciones principales, estrategias para seleccionar el numero de direcciones. PR3.",no
2664,Functional modelling of microarray time series with covariate curves,exclude,E4,media,Modelado funcional de series de microarrays con curvas covariables; especializacion de modelo mixto funcional para dominio de expresion genica sin discusion de base.,si
2665,Extremal correlation coefficient for functional data,include,none,media,Coeficiente de correlacion extremal para datos funcionales (variacion regular en Banach); aplicacion a datos funcionales financieros y climaticos.,no
2666,Robust Functional Data Analysis for Stochastic Evolution Equations in Infinite Dimensions,include,none,media,"Teoria asintotica robusta para covariaciones en ecuaciones de evolucion estocastica infinito-dimensionales; reduccion de dimension estilo FPCA, volatilidad estocastica.",no
2667,A portmanteau test for multivariate non-stationary functional time series with an increasing number ,include,none,media,Test portmanteau para FTS multivariada no estacionaria; aplicacion a precios de electricidad y consumo energetico.,no
2668,The autoregression bootstrap for kernel estimates of smooth nonlinear functional time series,include,none,alta,Bootstrap de autorregresion para estimadores kernel de FTS no lineal suave (marco Ferraty-Vieu); datos financieros/electricidad.,no
2669,Longitudinal Support Vector Machines for High Dimensional Time Series,include,none,media,SVM longitudinal para series de tiempo de alta dimension; extension del margen SVM a datos funcionales. Metodologia de clasificacion funcional.,no
2670,Long range dependence spectral testing from discretely observed functional time series in manifolds,include,none,alta,"Test espectral de dependencia de largo rango en FTS en variedades; base sieve de armonicos esfericos, seleccion del parametro sieve, reconstruccion por series LS. PR3/PR4.",no
2671,A Flexible Spatial Autoregressive Modelling Framework for Mixed Covariates of Multiple Data Types,include,none,media,Modelo autorregresivo espacial con covariables funcionales/composicionales/numericas; estimacion basada en FPCA. Contexto de economia regional.,no
2672,Detecting structural breaks in eigensystems of functional time series,include,none,alta,Deteccion de rupturas estructurales relevantes en eigensistemas de FTS (eigenfunciones/eigenvalores del operador de covarianza); fPCA central. PR2.,no
2673,Trend and Variable-Phase Seasonality Estimation from Functional Data,include,none,alta,"Estimacion de tendencia y estacionalidad de fase variable desde datos funcionales; log-verosimilitud para seleccionar el subespacio de tendencia, comparacion con modelos candidatos. PR3, datos de precio de electricidad/tipo de cambio.",no
2674,A similarity measure for second order properties of non-stationary functional time series with appli,include,none,media,"Medida de similitud para propiedades de segundo orden de FTS no estacionaria; operadores de densidad espectral, clustering y testing. Aplicaciones en finanzas/meteorologia.",no
2675,Graph-based Change Point Detection for Functional Data,include,none,media,Deteccion de punto de cambio basada en grafos para datos funcionales; aplicacion a retornos de activos de alta frecuencia y precios de electricidad.,no
2676,Deep learning estimation of the spectral density of functional time series on large domains,include,none,media,Estimacion por deep learning de la densidad espectral de FTS en dominios grandes; usa teoria de componentes principales funcionales espectrales.,no
2677,Attribution of Spurious Factors from High-Dimensional Functional Time Series,include,none,media,"Atribucion de factores espurios en FTS de alta dimension; operador de covarianza muestral, FPCA, modelos de factores funcionales, eigen-analisis. Contexto de finanzas actuariales.",no
2678,Testing separability for continuous functional data,include,none,media,"Test de separabilidad para datos funcionales continuos; estructura de covarianza en FTS, menciona PCA y Kriging como herramientas centrales.",no
2679,History matching for functional data,include,none,media,"History matching funcional para calibracion de modelos computacionales; proyeccion aleatoria Wiener, seleccion de umbral, emulacion GP. Contribucion metodologica sustantiva (FHM).",si
2680,Pivotal tests for relevant differences in the second order dynamics of functional time series,include,none,media,"Tests pivotales para diferencias relevantes en la dinamica de segundo orden de FTS; operadores de densidad espectral, eigenelementos, modos de variacion.",no
2681,Gaussian Differentially Private Human Faces Under a Face Radial Curve Representation,exclude,E1,media,"Privacidad diferencial gaussiana para caras humanas 3D; usa representacion en curvas funcionales como vehiculo para el mecanismo GDP, sin discutir eleccion/calidad de base.",si
2682,Asymptotic Theory for Regularized Estimation in Functional Time Series Models,include,none,alta,"Teoria asintotica para estimacion regularizada en modelos FTS (FAR); regularizacion de Tikhonov, mal condicionamiento, descomposicion sesgo-varianza del MSPE. PR3.",no
2683,Functional Singular Spectrum Analysis,include,none,alta,"Analisis de espectro singular funcional para FTS; integra FDA y SSA, compara con MSSA y FPCA dinamico (dFPCA), SVD, eigentriples.",no
2684,Robust Change-Point Detection for Functional Time Series Based on $U$-Statistics and Dependent Wild ,include,none,media,"Deteccion robusta de punto de cambio para FTS via U-estadisticos y bootstrap salvaje dependiente; proyeccion FPCA, Wilcoxon generalizado a datos funcionales.",no
2685,Demystifying Functional Random Forests: Novel Explainability Tools for Model Transparency in High-Di,include,none,media,"Herramientas de explicabilidad para bosques aleatorios funcionales; heatmaps de probabilidad de FPC, metricas de importancia de FPC, varianza explicada. PR2.",no
2686,Trend extraction in functional data of R and T waves amplitudes of exercise electrocardiogram,exclude,E4,media,Extraccion de tendencia en datos funcionales de amplitudes de ondas R y T del electrocardiograma de esfuerzo; herramientas FDA estandar aplicadas a pregunta de cardiologia sin discusion de base.,si
2687,Beyond average warming: Two-sample inference for dense-sparse functional data reveals changes in int,include,none,media,"Inferencia de dos muestras para datos funcionales denso-disperso; curvas de temperatura alemanas, transfer learning, bandas de confianza uniformes. Contribucion metodologica sustantiva de inferencia funcional.",si
2688,Spatial function-on-function regression,include,none,alta,Regresion funcion-sobre-funcion espacial integrando SAR con FPCA; descomposicion FPC espacial en respuesta y FPCA clasico en predictor. Aplicacion a datos de COVID-19 de Brasil (PR5).,no
