id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
3,Curve Classification Based on Mean-Variance Feature Weighting and Its Application,include,none,alta,"B-splines centrales para clasificacion de curvas, discusion metodologica explicita de la base",no
4,Optimal design of experiments for functional linear models with dynamic factors,include,none,alta,Discute explicitamente distintos escenarios de conjuntos de bases para representar la funcion coeficiente,no
11,Unified Principal Component Analysis for Sparse and Dense Functional Data under Spatial Dependency,include,none,alta,"FPCA con tensor product splines, metodologia central de representacion en bases",no
14,Two-sample tests for functional data using characteristic functions,include,none,alta,Representacion en bases funcionales es paso central del metodo de dos muestras propuesto,no
20,Wavelet estimation of the dimensionality of curve time series,include,none,alta,"Estimacion de dimension via representacion wavelet explicita, directamente relevante a PR4",no
31,Analyzing Electricity Demand in Colombia: A Functional Time Series Approach,include,none,alta,FDA aplicado a serie economica (demanda electrica) con suavizado tipo spline explicito,no
42,On Estimation of the Effect Lag of Predictors and Prediction in a Functional Linear Model,include,none,alta,"Expansion en sistema de bases (FPCA/splines) para funcion coeficiente, penalizacion explicita",no
43,Robust estimation for semi-functional linear regression models,include,none,alta,B-splines centrales para aproximar parametro de regresion funcional y componente no parametrica,no
45,Analysis of a GPS Network Based on Functional Data Analysis,include,none,alta,"Evalua varias bases de funciones (Fourier, P-splines) explicitamente para reconstruccion de series GPS",no
49,Estimation and diagnostic for single-index partially functional linear regression model with p-order,include,none,alta,"B-spline explicito en titulo/palabras clave, aplicado a pronostico fotovoltaico",no
50,Route identification in the National Football League: An application of model-based curve clustering,include,none,media,"Usa base polinomial de Bernstein para representar curvas; discusion de eleccion de base limitada, aplicacion deportiva (E4 borderline)",no
51,"Bayesian Semiparametric Functional Mixed Models for Serially Correlated Functional Data, With Applic",include,none,alta,"Marco bayesiano con smoothing splines/wavelets explicitos, aplicacion medica con metodologia sustantiva (excepcion E4)",no
58,Adaptive Generalized P-Splines for Functional Data: A Statistical Framework via Blockwise GSVD,include,none,alta,"P-splines adaptativos, seleccion de nodos y regularizacion, nucleo metodologico de representacion en bases",no
59,Bayesian additive adaptive basis tensor product models for modeling high dimensional surfaces: an ap,include,none,alta,"Modelo de expansion en bases tensoriales aprendidas de los datos, metodologia central sobre bases",no
62,Learning rates for partially linear functional models with high dimensional scalar covariates,include,none,alta,"Contrasta FPCA vs representacion automatica de bases via RKHS, discusion explicita de bases",no
72,Fast Bayesian basis selection for functional data representation with correlated errors,include,none,alta,"Seleccion bayesiana de funciones de base para suavizado, comparado contra splines de regresion/suavizado",no
74,Bayesian analysis of longitudinal and multidimensional functional data,include,none,media,"Titulo/contexto (Biostatistics, FD multidimensional) sugiere metodologia FDA relevante; resumen cortado por formato de pagina PMC",si
82,Statistical inference in functional quadratic expectile regression model,include,none,alta,Coeficientes funcionales aproximados por base de componentes principales funcionales,no
83,Landmark-Warped Emulators for Models with Misaligned Functional Response,include,none,media,"Emuladores para datos funcionales desalineados; usa splines de regresion adaptativa bayesiana como parte del marco, discusion de base parcial",si
86,Recovering the underlying trajectory from sparse and irregular longitudinal data,include,none,alta,Metodo SOAP estima funciones de base empirica optimas como alternativa a FPCA/PACE,no
88,Robust estimation in canonical correlation analysis for multivariate functional data,include,none,alta,"Analisis basado explicitamente en representacion en funciones de base, bases no ortogonales",no
89,Modeling Experimental Designs Including Longitudinal Data and a Functional Covariate,include,none,alta,Compara dos enfoques de suavizado (funciones de base y FPCA) en diseno experimental longitudinal,no
101,Stochastic modeling of Random Access Memories reset transitions,include,none,alta,"FPCA via expansion de Karhunen-Loeve aplicado a memorias resistivas, mismo cluster tematico que ancla del conjunto oro",no
106,Quantile Regression for Longitudinal Functional Data with Application to Feed Intake of Lactating So,include,none,alta,"Representaciones spline de funcion de coeficiente variable en el tiempo, regresion cuantilica longitudinal",no
111,Sparse logistic regression on functional data*,include,none,alta,Expansion B-spline con doble penalizacion para regresion logistica funcional dispersa,no
112,A fast epigraph and hypograph-based approach for clustering functional data,include,none,media,"Clustering via indices epigrafe/hipografe, no usa expansion en bases ni FPCA explicitamente - I1 discutible aunque es FDA genuino",no
114,A penalized spline estimator for functional linear regression with functional response,include,none,alta,Selecciona conjunto de funciones de base para reconstruccion y regresion funcion-en-funcion,no
126,Basis expansions for functional snippets,include,none,alta,"Representacion en bases de la funcion de covarianza para snippets funcionales, titulo explicito",no
127,Local Clustering for Functional Data,include,none,alta,Construido sobre tecnica de expansion en bases con forma de penalizacion novedosa,no
128,Gaussian graphical modeling for spectrometric data analysis,include,none,alta,"Expansion en base B-spline para modelar espectros, aplicacion quimica con discusion metodologica sustantiva (excepcion E4)",no
130,A Fourier representation of kernel Stein discrepancy with application to Goodness-of-Fit tests for m,include,none,alta,Representacion de Fourier como herramienta central para datos funcionales en espacios de Hilbert,no
131,High-resolution signal recovery via generalized sampling and functional principal component analysis,include,none,alta,Combina FPCA con representaciones dispersas de componentes principales funcionales,no
132,BASS: An R package for fitting and performing sensitivity analysis of bayesian adaptive spline surfa,include,none,alta,"Paquete R para superficies spline bayesianas adaptativas, splines como base central del metodo",no
135,Feature extraction for functional time series: Theory and application to NIR spectroscopy data,include,none,alta,"FPCA-BTW combina FPCA con thresholding de coeficientes wavelet, directamente relevante a PR4",no
136,Functional group bridge for simultaneous regression and support estimation,include,none,alta,"B-splines para transformar dispersion de funciones a vector disperso, aplicacion neurociencia con metodologia sustantiva (excepcion E4)",no
139,Multi-dimensional functional principal component analysis,include,none,alta,Extension de FPCA a dominios multidimensionales con transformada rapida de Fourier en suavizado,no
144,Roughness regularization for functional data analysis with free knots spline estimation,include,none,alta,"Estimacion con splines de nodos libres y regularizacion de rugosidad, nucleo metodologico de PR4",no
148,Bayesian wavelet-packet historical functional linear models,include,none,alta,"Compara representacion wavelet-packet vs spline-based para modelos historicos funcionales, relevante a PR4",no
150,FILTRATED COMMON FUNCTIONAL PRINCIPAL COMPONENT ANALYSIS OF MULTIGROUP FUNCTIONAL DATA,include,none,alta,fPCA filtrada estructurada en forma de bosque para datos funcionales multigrupo,no
156,Compositional splines for bivariate density data analysis,include,none,alta,"Nueva base spline para densidades bivariadas transformadas, construccion explicita de base",no
162,Spline estimation of functional principal components via manifold conjugate gradient algorithm,include,none,alta,"Aproximacion B-spline de componentes principales funcionales, algoritmo de gradiente conjugado",no
168,A comparison of parameter estimation in function-on-function regression,include,none,alta,"Comparacion explicita de bases y metodo de estimacion en regresion funcion-en-funcion, tipo comparativo directo (PR2/PR4)",no
169,Quadratic regression for functional response models,include,none,alta,"Predictor y funcion de coeficiente expresados por expansion en bases, regresion funcional cuadratica",no
174,Functional principal component analysis for incomplete space-time data,include,none,alta,"FPCA con discretizacion B-spline en tiempo y elementos finitos en espacio, datos espacio-temporales incompletos",no
179,Estimation in functional partially linear spatial autoregressive model,include,none,alta,FPCA y aproximacion por funciones de base para modelo espacial autorregresivo funcional parcialmente lineal,no
