id,title_short,decision,reason_code,confidence,rationale
2200,Asymptotic normality of conditional density estimation in the single index model for functional time,include,none,baja,"Teoria FDA general sin resumen, sin conexion excluyente clara"
2201,Cointegration in functional autoregressive processes,include,none,media,"Cointegracion en procesos AR funcionales, teoria econometrica (Granger-Johansen)"
2202,Atm transaction simulation: combination of ACDs and Cox process,include,none,alta,Aplicacion financiera: transacciones ATM via FDA
2203,Anomaly detection: a functional analysis perspective,include,none,baja,Titulo generico FDA sin resumen
2204,Functional nonparametric statistics in action,include,none,baja,Capitulo generico FDA sin resumen
2205,Structural change in volatility in China's stock market: a functional data analysis,include,none,alta,Volatilidad en mercado bursatil chino via FDA
2206,Statistical inference for the slope parameter in functional linear regression,include,none,media,"Inferencia teorica en regresion lineal funcional, generico pero FDA central"
2207,Functional linear regression with mixed predictors,include,none,baja,Titulo generico FDA sin resumen
2208,An LRD spectral test for irregularly discretely observed functional time series in manifolds,include,none,baja,Titulo generico FDA sin resumen
2209,Asymptotic normality of spectral means of Hilbert space valued random processes,include,none,baja,Titulo generico FDA sin resumen
2210,Granger mediation analysis of multiple time series with an application to functional magnetic resona,exclude,E4,alta,"Aplicacion a neuroimagen fMRI, dominio ajeno sin discusion de base"
2211,A conformal approach for distribution-free prediction of functional data,include,none,baja,Titulo generico FDA sin resumen
2212,Nearest neighbors estimation for long memory functional data,include,none,baja,Titulo generico FDA sin resumen
2213,Learning with signatures,include,none,baja,"Titulo ambiguo (signatures), sin desconexion clara de FDA"
2214,Template based functional prediction with applications to noninvasive mechanical ventilation and sur,include,none,baja,Prediccion funcional con conexion FDA explicita pese a dominio medico
2215,On the estimation of invertible functional time series,include,none,baja,Titulo generico FDA sin resumen
2216,Consistency of the regression estimator with functional data under long memory conditions,include,none,baja,Titulo generico FDA sin resumen
2217,Confidence surfaces for the mean of locally stationary functional time series,include,none,baja,Titulo generico FDA sin resumen
2218,Forecasting online auctions via self-exciting point processes,include,none,alta,Aplicacion economica: precios de subastas online via FDA
2219,Cluster based inference for extremes of time series,exclude,I1,alta,Resumen sin ninguna mencion a datos funcionales/FDA
2220,Seasonal functional autoregressive models,include,none,media,"Modelo FDA generico (autoregresion estacional), sin dominio pero metodologicamente central"
2221,On distributional autoregression and iterated transportation,include,none,media,"Autoregresion distribucional generica, adyacente a econometria"
2222,Markov switching tensor regressions,include,none,baja,"Markov switching, terminologia de econometria macro, sin resumen"
2223,Discussion of ``Analysis of spatio-temporal mobile phone data: a case study in the metropolitan area,exclude,I1,media,"Discusion sobre paper de datos de telefonia movil, no economia/finanzas ni bases"
2224,Functional sieve bootstrap for the partial sum process with an application to change-point detection,include,none,media,Bootstrap FDA generico para deteccion de cambios
2225,Shape-preserving prediction for stationary functional time series,include,none,media,"Prediccion FDA generica, sin dominio pero metodologicamente central"
2226,On the rate of convergence for the autocorrelation operator in functional autoregression,include,none,media,"Autoregresion funcional generica, tasa de convergencia"
2227,Topics on methodological and applied statistical inference. Selected papers based on the presentatio,exclude,E5,alta,"Volumen completo de actas SIS 2014, no un trabajo individual"
2228,Joint models for grid point and response processes in longitudinal and functional data,include,none,media,Modelo conjunto FDA/longitudinal generico
2229,Varying coefficient models for sparse noise-contaminated longitudinal data,include,none,media,Modelo de coeficientes variables para datos longitudinales dispersos
2230,Testing equality of spectral density operators for functional processes,include,none,media,Test FDA generico sobre operadores de densidad espectral
2231,Distributional Limit Theory for Optimal Transport,include,none,baja,"Transporte optimo, posible conexion via Wasserstein a FDA, sin resumen"
2232,Interval-valued functional clustering based on the Wasserstein distance with application to stock da,include,none,alta,Clustering funcional aplicado a datos bursatiles (stock data)
2233,Surface functional models,include,none,media,"Modelos funcionales de superficie, metodologia generica"
2234,Parametric conditional mean inference with functional data applied to lifetime income curves,include,none,alta,Aplicacion economica: curvas de ingreso de por vida (lifetime income)
2235,The autoregression bootstrap for kernel estimates of smooth nonlinear functional time series,include,none,baja,Titulo generico FDA sin resumen
2236,A one-way ANOVA test for functional data with graphical interpretation.,include,none,media,Test ANOVA funcional generico
2237,"Artificial intelligence and soft computing. 20th international conference, ICAISC 2021, virtual even",exclude,E5,alta,Volumen completo de actas ICAISC 2021
2238,Detecting changes in functional linear models,include,none,media,"Deteccion de cambios en modelos lineales funcionales, generico"
2239,Analysing the complexity mixture structure of daily probability densities of Bitcoin returns,include,none,alta,Aplicacion financiera explicita: retornos de Bitcoin
2240,On the instrument functional form with a binary endogenous explanatory variable,include,none,media,"Terminologia econometrica (variable instrumental, endogena)"
2241,Functional and high-dimensional statistics and related fields. Selected papers presented at the 5th ,exclude,E5,alta,Volumen completo de actas del workshop IWFOS 2021
2242,State space models for functional time series,include,none,baja,Titulo generico FDA sin resumen
